name,latitude,longitude
大阪府,堺市中区
深阪,34.514668,135.505126
小阪西,34.517578,135.485576
八田西町三丁,34.519875,135.483767
深阪三丁,34.509528,135.503328
深阪六丁,34.507226,135.504126
土師町四丁,34.536739,135.500686
深阪二丁,34.509392,135.500220
深阪五丁,34.507920,135.507807
深阪一丁,34.512778,135.499320
深阪四丁,34.511390,135.505251
八田南之,34.521284,135.485936
土師町五丁,34.539333,135.503735
土師町一丁,34.543663,135.497497
土師町二丁,34.542769,135.502580
八田寺,34.528958,135.478666
深井東,34.530212,135.506244
八田西町一丁,34.521927,135.476376
土師町三丁,34.539526,135.498495
東八田,34.524719,135.496352
八田西町二丁,34.519615,135.479938
見野山,34.505519,135.531464
楢葉,34.514569,135.501730
宮園,34.527330,135.491964
伏尾,34.513944,135.493530
小阪,34.520624,135.490502
深井沢,34.529407,135.499084
深井水池,34.533305,135.500990
堀上,34.529955,135.484756
新家,34.542483,135.512304
大野芝,34.534424,135.517595
八田北,34.524836,135.481338
毛穴,34.529100,135.472468
深井清水,34.531805,135.491806
深井北,34.540271,135.489864
田園,34.511956,135.510178
学園,34.545247,135.506457
深井中,34.536148,135.488670
深井畑山,34.526795,135.509633
上之,34.507282,135.523848
辻之,34.510688,135.516944
土塔,34.534594,135.508773
平井,34.517941,135.497383
東山,34.521585,135.507408
陶器北,34.513095,135.525056
福田,34.524000,135.523654
八田西町三,34.519875,135.483767
深阪三,34.509528,135.503328
深阪六,34.507226,135.504126
土師町四,34.536739,135.500686
深阪二,34.509392,135.500220
深阪五,34.507920,135.507807
深阪一,34.512778,135.499320
深阪四,34.511390,135.505251
土師町五,34.539333,135.503735
土師町一,34.543663,135.497497
土師町二,34.542769,135.502580
八田西町一,34.521927,135.476376
土師町三,34.539526,135.498495
八田西町二,34.519615,135.479938
