name,latitude,longitude
大阪府,泉南市
鳴滝,34.373508,135.275194
馬場,34.360966,135.271601
樽井,34.362486,135.273831
幡代,34.347490,135.265826
男里,34.375987,135.251777
北野,34.381780,135.281700
中小路,34.375860,135.275517
岡田,34.391853,135.281536
別所,34.363715,135.318101
信達大苗代,34.370936,135.290362
兎田,34.373118,135.313660
りんくう南浜,34.382930,135.268806
信達牧野,34.359180,135.278849
泉州空港南,34.421154,135.228884
信達六尾,34.343764,135.299173
信達金熊寺,34.333394,135.290484
信達市場,34.360622,135.290033
信達童子畑,34.325474,135.307999
信達岡中,34.336896,135.274859
信達楠畑,34.314938,135.294508
信達葛畑,34.328115,135.326012
新家,34.358445,135.307721
