name,latitude,longitude
大阪府,池田市
綾羽,34.826356,135.426064
菅原,34.821983,135.427102
城南,34.819267,135.429884
西本,34.826583,135.423019
大和,34.823353,135.427902
栄,34.822853,135.425131
城山,34.826796,135.428214
槻木,34.824356,135.423033
栄本,34.825135,135.426542
新,34.829821,135.424260
渋谷,34.824297,135.441882
呉服,34.818793,135.424910
畑,34.825590,135.449459
上池田,34.824270,135.431918
五月丘,34.829216,135.439850
建石,34.825741,135.430019
天神,34.806436,135.440203
荘園,34.809314,135.436721
石橋,34.805366,135.447704
八王寺,34.815237,135.433134
鉢塚,34.817562,135.435374
姫室,34.817839,135.423022
井口堂,34.815469,135.444084
空港,34.796502,135.441871
宇保,34.816610,135.429815
伏尾台,34.856661,135.438566
旭丘,34.820271,135.445493
豊島北,34.805764,135.436452
室,34.822488,135.422020
満寿美,34.818212,135.427326
桃園,34.820888,135.418913
緑丘,34.820428,135.442600
住吉,34.804024,135.439959
神田,34.807054,135.426114
ダイハツ,34.804206,135.426691
吉田,34.855066,135.434478
中川原,34.844319,135.435850
古江,34.847949,135.422936
木部,34.838193,135.432223
東山,34.846789,135.442984
伏尾,34.860446,135.448460
