name,latitude,longitude
大阪府,摂津市
別府,34.755747,135.554200
桜,34.787932,135.561791
鳥飼和道,34.761472,135.569909
鳥飼野々,34.773962,135.575337
庄屋,34.782929,135.552264
千里丘,34.792836,135.551536
鳥飼八防,34.770630,135.574165
東別府,34.770264,135.557449
正雀,34.778715,135.550165
鳥飼西,34.768875,135.582445
鳥飼下,34.776318,135.588919
浜,34.769726,135.552686
鶴野,34.781119,135.562862
三島,34.776856,135.561817
南千里丘,34.784429,135.554951
鳥飼上,34.786399,135.596765
北別府,34.771686,135.556328
阪急正雀,34.778168,135.545640
正雀本,34.776075,135.548254
学園,34.782204,135.560026
東正雀,34.781069,135.552279
鳥飼新,34.786450,135.586997
新在家,34.773136,135.570924
鳥飼本,34.779373,135.586302
鳥飼銘木,34.784789,135.593648
別府,34.765602,135.555432
鳥飼中,34.783957,135.587468
一津屋,34.761280,135.567740
鳥飼八,34.795392,135.594333
香露園,34.786709,135.556101
東一津屋,34.766178,135.569044
昭和園,34.789173,135.558800
南別府,34.759666,135.553589
西一津屋,34.761287,135.559967
安威川南,34.778297,135.573786
千里丘新,34.781401,135.543901
