name,latitude,longitude
大阪府,泉大津市
板原,34.488469,135.416208
宇多,34.490762,135.410159
綾井,34.513871,135.435578
尾井千原,34.511644,135.432513
末広,34.513647,135.430166
要池住宅,34.491595,135.420855
神明,34.504415,135.40208
本,34.50316,135.401239
若宮,34.504557,135.404078
助松,34.516238,135.416757
楠町東,34.491037,135.413806
下之,34.502343,135.398444
北豊中,34.494725,135.427172
板原,34.489591,135.41239
菅原,34.506256,135.403916
東豊中,34.491761,135.428056
臨海,34.511904,135.40893
森,34.51084,135.426126
我孫子,34.493199,135.412629
上之,34.500888,135.399427
千原,34.509111,135.431642
東助松,34.512113,135.424581
戎,34.500721,135.401739
二田,34.508201,135.416648
池浦,34.498788,135.418423
田中,34.503318,135.404793
豊中,34.493256,135.421104
穴田,34.490495,135.419519
条南,34.509281,135.418692
下条,34.501448,135.413266
小松,34.508163,135.406287
曽根,34.504403,135.420468
池園,34.506638,135.422262
助松団地,34.51181,135.429027
高津,34.497553,135.39913
虫取,34.494168,135.406439
青葉,34.503394,135.393258
東港,34.506734,135.400161
宮,34.500389,135.420645
寿,34.502792,135.417455
松之浜,34.511906,135.414653
式内,34.497116,135.40267
清水,34.498882,135.396728
春日,34.506493,135.408606
昭和,34.498928,135.404929
西港,34.504901,135.396754
旭,34.501345,135.40783199999998
東雲,34.50435,135.411513
なぎさ,34.50844,135.398515
河原,34.500163,135.392008
新港,34.513202,135.400264
小津島,34.524425,135.397851
汐見,34.509345,135.382281
夕凪,34.519869,135.37924999999998
池浦,34.493962,135.418798
豊中,34.494531,135.419053
