name,latitude,longitude
大阪府,大阪市天王寺区
上本,34.673741,135.520751
下味原,34.665443,135.529638
四天王寺,34.655833,135.519247
上汐,34.658269,135.516028
大道,34.647604,135.522442
細工谷,34.661130,135.524519
寺田,34.649839,135.524005
味原本,34.668230,135.525269
勝山,34.654179,135.523976
烏ケ辻,34.656910,135.526826
松ケ鼻,34.659549,135.524050
逢阪,34.654334,135.511643
空清,34.672587,135.523466
六万体,34.659440,135.514742
生玉前,34.663950,135.515509
東上,34.663687,135.529001
下寺,34.657557,135.510846
伶人,34.655798,135.512438
空堀,34.674163,135.527632
舟橋,34.667628,135.530350
小宮,34.659441,135.519909
北河堀,34.649935,135.517760
堀越,34.649512,135.513902
上之宮,34.661842,135.520424
味原,34.667172,135.528111
夕陽丘,34.658356,135.512892
石ケ辻,34.664008,135.521765
堂ケ芝,34.660405,135.526154
東高津,34.667464,135.522369
真田山,34.669926,135.528760
北山,34.660503,135.522354
悲田院,34.648282,135.515445
国分,34.651760,135.524596
小橋,34.666472,135.525400
城南寺,34.670313,135.522452
真法院,34.656831,135.520796
玉造本,34.673058,135.529385
玉造元,34.671986,135.531877
生玉寺,34.661543,135.513297
清水谷,34.674476,135.523545
生玉,34.664901,135.513686
筆ケ崎,34.663807,135.525695
餌差,34.671028,135.525944
南河堀,34.647219,135.518989
茶臼山,34.650412,135.510474
