name,latitude,longitude
大阪府,茨木市
本,34.819084,135.572910
南清水,34.835389,135.531967
総持寺台,34.824070,135.586011
山手台東,34.863160,135.559882
駅前,34.817934,135.565250
宮元,34.820386,135.574276
東宮,34.823935,135.574107
山手台新,34.866791,135.557108
別院,34.816831,135.574031
宿久庄,34.842913,135.527142
真砂玉島台,34.798769,135.583028
小坪井,34.806520,135.545801
玉水,34.806992,135.571567
総持寺,34.829930,135.585344
永代,34.817090,135.575778
大正,34.794014,135.560216
見付山,34.819359,135.555298
元,34.818138,135.571558
平田台,34.805531,135.584908
東奈良,34.808224,135.570148
春日,34.818297,135.560141
水尾,34.805923,135.578744
大同,34.808847,135.586106
上穂積,34.821061,135.558264
豊川,34.835193,135.528737
白川,34.816921,135.604888
大手,34.815907,135.571575
小柳,34.795388,135.579919
上穂東,34.822868,135.560979
上中条,34.820005,135.567813
玉島台,34.800378,135.584479
中総持寺,34.826576,135.585348
戸伏,34.822541,135.578439
彩都あさぎ,34.851953,135.524267
大住,34.823696,135.575733
鮎川,34.817309,135.592726
上泉,34.823724,135.572387
総持寺駅前,34.828169,135.583377
五日市緑,34.830344,135.561976
小川,34.809490,135.569036
真砂,34.797719,135.580170
若草,34.804288,135.565325
三咲,34.830900,135.570176
主原,34.811241,135.572524
下穂積,34.811247,135.551990
末広,34.819667,135.579656
双葉,34.816540,135.577767
西安威,34.844666,135.557737
橋の内,34.819693,135.587667
三島,34.830545,135.579454
西駅前,34.815667,135.560275
片桐,34.820183,135.570992
新堂,34.811647,135.596184
西河原,34.834789,135.574519
東太田,34.838647,135.581832
並木,34.808781,135.579592
竹橋,34.820333,135.577166
新中条,34.809502,135.565822
彩都やまぶき,34.854493,135.521189
新和,34.795767,135.576610
園田,34.813751,135.581821
南春日丘,34.818317,135.535427
野々宮,34.795919,135.583231
南安威,34.842813,135.558197
玉櫛,34.802451,135.571607
沢良宜浜,34.793869,135.568647
下中条,34.812967,135.566320
南目垣,34.802690,135.595603
沢良宜西,34.791193,135.563255
五日市,34.833164,135.563291
太田,34.842636,135.574250
蔵垣内,34.795605,135.555258
安威,34.856272,135.564147
三島丘,34.833428,135.578365
目垣,34.804797,135.595382
玉島,34.800856,135.589014
島,34.789532,135.574698
稲葉,34.811485,135.575340
下井,34.837173,135.550296
南耳原,34.837514,135.568130
中河原,34.838934,135.554205
丑寅,34.799715,135.559469
上郡,34.834112,135.558009
西田中,34.824630,135.567971
井口台,34.831782,135.541860
山手台,34.859069,135.557982
西福井,34.840238,135.549374
寺田,34.816849,135.585448
穂積台,34.810786,135.548460
東中条,34.813094,135.568942
中穂積,34.817295,135.557795
宇野辺,34.801860,135.555446
新庄,34.812844,135.571670
西太田,34.837728,135.571175
耳原,34.839216,135.564836
城の前,34.837133,135.574404
中村,34.819230,135.583061
学園,34.817209,135.589455
桑田,34.812342,135.585535
豊原,34.838956,135.546928
郡,34.829866,135.555763
西河原北,34.834504,135.571162
平田,34.805235,135.586727
北春日丘,34.819798,135.539247
舟木,34.814140,135.576603
花園,34.847017,135.574870
高田,34.845229,135.581175
天王,34.804736,135.562419
宿川原,34.834394,135.542172
松下,34.828257,135.567345
大池,34.811192,135.578960
西中条,34.812934,135.563462
道祖本,34.831090,135.537846
太田東芝,34.839517,135.577364
横江,34.788654,135.567233
星見,34.808837,135.589730
新郡山,34.831416,135.547241
学園南,34.814038,135.591544
五十鈴,34.813894,135.587930
東安威,34.853144,135.567891
紫明園,34.813323,135.549068
郡山,34.831162,135.550680
室山,34.843612,135.546036
庄,34.824827,135.581294
東福井,34.842433,135.555052
高浜,34.791849,135.565798
美沢,34.798208,135.567995
中津,34.816708,135.581182
松ケ本,34.811425,135.558865
藤の里,34.838857,135.543662
田中,34.827515,135.570948
岩倉,34.810770,135.561816
沢良宜東,34.797985,135.571295
十日市,34.842515,135.568678
奈良,34.807383,135.565075
若園,34.802550,135.581239
玉瀬,34.805884,135.581901
上野,34.835807,135.560575
西豊川,34.831457,135.526699
清水,34.837979,135.531215
西穂積,34.823545,135.552189
畑田,34.828731,135.564386
東宇野辺,34.804157,135.559291
東野々宮,34.796394,135.592291
美穂ケ丘,34.822710,135.527687
上穂積,34.826951,135.542808
大門寺,34.870362,135.555505
宮島,34.780616,135.571052
桑原,34.862528,135.562553
長谷,34.909729,135.538185
生保,34.875264,135.562380
安元,34.890048,135.546821
安威,34.864677,135.566825
清阪,34.910867,135.570766
中穂積,34.825255,135.535987
千提寺,34.884570,135.535328
忍頂寺,34.897827,135.543661
大岩,34.880629,135.546216
福井,34.862482,135.547344
上音羽,34.903568,135.524584
銭原,34.918187,135.530760
下音羽,34.907870,135.553247
車作,34.891157,135.559891
泉原,34.884264,135.514311
宿久庄,34.852699,135.539352
粟生岩阪,34.866826,135.517823
佐保,34.871915,135.529281
彩都あかね,34.860527,135.535039
彩都はなだ,34.873980,135.550147
彩都もえぎ,34.852887,135.555525
