let,num
旭,1
が,1
丘,1
朝,1
日,2
石,7
志,6
魚,1
屋,8
宇,1
木,28
後,1
川,14
内,8
浦,9
江,2
枝,1
去,1
相,21
賀,4
知,20
町,96
伊,1
岐,1
佐,6
大,11
野,15
楠,1
久,2
保,1
黒,1
岩,3
里,5
千,3
束,1
田,31
頭,2
鷹,2
取,1
切,2
長,2
部,4
中,11
山,23
平,7
上,6
下,4
牟,2
崎,5
湯,2
横,5
枕,1
海,2
岸,2
通,4
鏡,2
新,4
開,1
水,2
主,2
柏,1
神,2
集,1
島,12
刀,1
北,13
城,4
波,13
多,22
杉,2
気,1
竹,3
有,1
徳,1
須,1
恵,1
成,1
渕,2
稗,1
彦,1
行,1
合,1
厳,16
天,2
箞,1
瀬,6
戸,2
場,4
鳥,2
越,2
浪,1
之,1
広,2
星,2
領,1
牧,2
本,6
京,1
綿,1
熊,2
原,5
ノ,2
峰,1
呉,1
服,1
米,1
紺,1
材,1
栄,1
桜,2
馬,3
浜,16
重,1
河,1
十,1
人,3
松,2
南,5
興,1
菅,1
双,1
名,2
小,3
路,1
良,1
高,3
砂,1
々,1
代,1
鎮,20
西,27
赤,2
室,1
打,1
加,3
唐,5
倉,2
串,1
塩,1
鶴,2
菖,1
蒲,1
護,1
元,3
早,1
渡,1
丸,1
八,3
床,1
房,1
谷,2
梨,1
七,8
荒,1
池,1
白,1
滝,1
仁,2
藤,2
菜,1
畑,2
津,2
寺,2
旗,2
橋,2
半,1
鳩,1
玉,13
岡,1
口,2
五,1
反,1
巣,1
東,7
肥,21
前,21
坂,2
ケ,2
犬,1
入,1
梅,1
瓜,1
尾,1
納,1
所,1
万,1
満,2
向,1
富,2
士,3
見,4
二,1
タ,1
子,8
船,1
宮,1
坊,1
湊,1
妙,1
借,1
百,3
形,1
幡,1
養,2
母,2
鬼,1
塚,1
夕,1
弓,1
呼,7
友,2
殿,1
和,10
土,1
井,1
先,2
村,1
用,1
尺,1
