name,latitude,longitude
埼玉県,日高市
猿田上ノ台,35.892491,139.333933
女影新田,35.905391,139.361517
武蔵台,35.875559,139.298836
四本木,35.898695,139.333060
高麗川,35.895780,139.334251
高萩東,35.909923,139.383333
新堀新田,35.905002,139.347853
久保,35.882301,139.301491
野々宮,35.893606,139.329388
横手,35.874292,139.285845
下高萩新田,35.916150,139.380885
高富,35.876983,139.385601
猿田,35.888504,139.333880
馬引沢,35.873651,139.369368
楡木,35.886242,139.328124
田木,35.874171,139.377635
山根,35.918953,139.323940
中鹿山,35.890566,139.345756
森戸新田,35.916155,139.374107
梅原,35.881198,139.317455
台,35.879212,139.306957
下鹿山,35.894594,139.354061
清流,35.894666,139.307059
鹿山,35.899761,139.348341
高岡,35.896269,139.314825
栗坪,35.885843,139.322602
大谷沢,35.885090,139.380791
駒寺野新田,35.921842,139.362429
上鹿山,35.885917,139.340906
中沢,35.887052,139.371455
田波目,35.919478,139.347099
原宿,35.904058,139.344175
南平沢,35.910819,139.335865
旭ケ丘,35.911907,139.362086
下大谷沢,35.891020,139.389890
新堀,35.899218,139.324104
女影,35.889511,139.358829
北平沢,35.910718,139.319041
高麗本郷,35.892082,139.297823
横手,35.885743,139.285151
高萩,35.900997,139.376946
