name,latitude,longitude
埼玉県,東松山市
大黒部,35.996817,139.403816
あずま,36.003160,139.406035
砂田,36.042834,139.413014
本,36.038608,139.405742
六反,36.036158,139.414628
材木,36.040269,139.402607
松葉,36.040861,139.399085
小松原,36.044487,139.409787
箭弓,36.035595,139.402516
幸,36.030423,139.400057
白山台,35.995769,139.385300
若松,36.029414,139.408079
神明,36.035090,139.406816
松山,36.046655,139.390017
松本,36.039660,139.415198
六軒,36.033277,139.414919
美土里,36.034794,139.389782
御茶山,36.034761,139.410601
元宿,36.003418,139.393057
日吉,36.044348,139.402129
沢口,36.057986,139.411645
五領,36.029765,139.418126
桜山台,35.991407,139.386871
殿山,36.057698,139.415512
和泉,36.032440,139.392790
新宿,36.033819,139.420495
山崎,36.028708,139.424603
加美,36.047423,139.402268
松風台,35.993272,139.379222
坂東山,36.016451,139.375419
旗立台,35.987654,139.380985
上押垂,36.013730,139.399668
下押垂,36.009095,139.423433
早俣,36.000887,139.421687
今泉,36.010012,139.431519
宮鼻,35.993000,139.410126
柏崎,36.024408,139.425264
市ノ川,36.051429,139.392931
正代,35.997765,139.414083
新郷,36.035467,139.362209
高坂,36.005251,139.400467
野田,36.057744,139.390282
毛塚,35.992027,139.399402
下青鳥,36.020957,139.391061
田木,35.987838,139.392999
岡,36.093443,139.405270
西本宿,36.008157,139.390367
葛袋,36.012098,139.380533
上野本,36.022443,139.403542
松山,36.048204,139.413156
下野本,36.017644,139.420240
下唐子,36.025714,139.364182
上唐子,36.033221,139.340605
古凍,36.013587,139.448263
東平,36.066302,139.411191
石橋,36.032328,139.377615
岩殿,36.001268,139.371069
神戸,36.015667,139.350040
大谷,36.081419,139.391636
