name,latitude,longitude
埼玉県,本庄市
五十子,36.227211,139.193647
見福,36.230059,139.175426
万年寺,36.252194,139.163601
銀座,36.239125,139.187837
中央,36.242523,139.183278
四季の里,36.226077,139.194188
東台,36.238534,139.195545
千代田,36.240624,139.180739
柏,36.231878,139.175912
南,36.236913,139.182692
けや木,36.230142,139.189793
本庄,36.237838,139.189655
いまい台,36.218017,139.158217
下野堂,36.249219,139.162579
緑,36.227656,139.176823
早稲田の杜,36.224946,139.184495
小島,36.248818,139.167863
栄,36.238449,139.173137
朝日,36.232067,139.193092
日の出,36.235744,139.202921
寿,36.228783,139.202021
前原,36.238380,139.180086
上仁手,36.261383,139.207072
駅南,36.235633,139.185193
若泉,36.246008,139.187421
杉山,36.258962,139.168288
児玉町高関,36.217321,139.160095
児玉町元田,36.168874,139.108132
児玉町長沖,36.179613,139.125188
共栄,36.222173,139.142940
東富田,36.221582,139.175012
児玉町下真下,36.217057,139.143943
都島,36.258948,139.174702
児玉町田端,36.196131,139.112717
四方田,36.219213,139.169765
鵜森,36.232858,139.215805
滝瀬,36.229553,139.241753
児玉町保木野,36.203369,139.115248
東五十子,36.226387,139.213191
傍示堂,36.240344,139.212290
児玉町共栄,36.216126,139.134667
児玉町八幡山,36.196127,139.128566
西五十子,36.223059,139.203786
田中,36.256470,139.194607
西富田,36.230704,139.165533
北堀,36.221917,139.191481
堀田,36.228788,139.233536
山王堂,36.262930,139.187642
宮戸,36.240362,139.239453
下仁手,36.253126,139.222236
児玉町上真下,36.207840,139.132433
久々宇,36.254144,139.202623
児玉町入浅見,36.200870,139.155911
沼和田,36.256085,139.183810
児玉町下浅見,36.212761,139.166005
小和瀬,36.245998,139.230385
児玉町吉田林,36.199810,139.137918
新井,36.267258,139.174716
栗崎,36.212266,139.183770
児玉町塩谷,36.183051,139.106411
牧西,36.234986,139.227329
今井,36.225523,139.152896
児玉町高柳,36.173929,139.108248
児玉町蛭川,36.207460,139.147510
仁手,36.248813,139.214459
児玉町宮内,36.180786,139.082993
児玉町金屋,36.189267,139.120434
児玉町飯倉,36.179116,139.092793
児玉町児玉,36.187876,139.142090
児玉町稲沢,36.159485,139.080311
児玉町河内,36.152136,139.091088
児玉町秋山,36.164842,139.135570
児玉町太駄,36.133118,139.073797
児玉町小平,36.160210,139.116832
