let,num
上,9
広,5
谷,7
青,1
柳,1
岸,5
富,3
士,2
見,2
藤,5
倉,2
栄,2
新,21
河,3
豊,4
田,31
松,4
江,1
南,5
大,11
塚,7
末,1
霞,1
ケ,2
関,1
東,6
元,3
久,4
保,3
伊,2
勢,1
原,7
扇,1
野,12
幸,1
喜,1
多,2
手,1
西,2
小,8
仙,6
波,6
か,3
わ,1
つ,1
る,1
三,3
芳,2
仲,1
六,1
軒,1
中,9
宮,2
下,9
明,2
寺,5
台,6
志,1
通,2
吉,3
日,1
宿,2
川,4
鶴,1
連,1
雀,1
並,3
木,5
す,1
み,1
郭,1
寿,1
砂,4
菅,2
光,1
四,1
都,1
鯨,2
井,4
清,1
水,1
越,1
戸,3
熊,1
脇,3
平,2
福,4
今,3
成,2
問,1
屋,1
諏,1
訪,1
泉,2
稲,1
荷,1
的,3
場,4
旭,1
石,3
月,1
高,1
島,4
本,6
竹,1
む,1
さ,1
し,2
八,1
ツ,1
城,2
神,1
氷,1
牛,1
子,1
鹿,1
飼,1
御,1
萱,1
沼,3
居,2
老,3
袋,5
古,3
市,1
郷,3
目,1
北,1
渋,1
山,4
佐,1
天,1
安,1
比,1
奈,1
尾,1
府,1
堤,1
赤,1
坂,2
間,2
池,1
辺,1
鴨,1
笠,1
幡,1
増,1
形,1
室,1
