name,latitude,longitude
埼玉県,越谷市
相模,35.884141,139.807147
花田,35.903954,139.791590
登戸,35.876090,139.802684
越ヶ谷,35.891825,139.787978
柳,35.895073,139.790323
元柳田,35.881567,139.786533
伊原,35.864230,139.806952
東柳田,35.884609,139.786310
大沢,35.897268,139.782857
中,35.892655,139.785443
弥栄,35.925161,139.794947
東,35.884980,139.837359
越ヶ谷本,35.894652,139.784776
赤山本,35.886943,139.785296
御殿,35.896606,139.787322
中島,35.890751,139.837843
赤山,35.882673,139.784682
南,35.859966,139.804175
花田,35.902810,139.806707
西方,35.885423,139.795462
宮本,35.883623,139.775310
蒲生,35.860429,139.790945
弥生,35.888966,139.786568
瓦曽根,35.881633,139.789575
北越谷,35.907319,139.779039
平方南,35.943380,139.779861
東大沢,35.905844,139.789601
東越谷,35.897474,139.793141
蒲生西,35.862344,139.794081
蒲生,35.860167,139.796691
蒲生南,35.857761,139.803986
流通団地,35.876576,139.810852
蒲生愛宕,35.857450,139.799973
蒲生本,35.863356,139.797050
宮前,35.901592,139.795009
谷中,35.879702,139.777508
千間台西,35.932068,139.770011
南越谷,35.874536,139.787472
蒲生旭,35.867687,139.799244
大間野,35.867819,139.777454
増林,35.908463,139.811404
蒲生茜,35.866741,139.788800
蒲生東,35.872056,139.803126
七左,35.875193,139.773550
川柳,35.862953,139.811389
大成,35.889869,139.827770
増森,35.901278,139.823268
神明,35.894565,139.773360
中島,35.890648,139.831461
上間久里,35.932121,139.785265
長島,35.884376,139.751037
蒲生寿,35.867606,139.794362
登戸,35.872748,139.797827
新越谷,35.874283,139.782466
野島,35.921072,139.747997
西方,35.879455,139.799803
大林,35.912238,139.775892
大房,35.909954,139.782410
新川,35.879332,139.758220
恩間新田,35.940262,139.756273
大松,35.935488,139.808684
大吉,35.918668,139.801554
北後谷,35.886497,139.763073
恩間,35.926490,139.769169
大竹,35.922451,139.765656
弥十郎,35.921248,139.791195
大里,35.919160,139.784312
大道,35.922110,139.759442
大杉,35.930580,139.800179
北川崎,35.929463,139.800290
向畑,35.927024,139.807530
小曽川,35.917944,139.752372
大泊,35.937924,139.784637
下間久里,35.927715,139.785694
三野宮,35.930954,139.755535
砂原,35.910132,139.757327
袋山,35.923217,139.776892
増森,35.895595,139.824111
西新井,35.888403,139.755787
船渡,35.936047,139.797954
増林,35.912247,139.807377
平方,35.949934,139.785784
南荻島,35.908890,139.766972
レイクタウン,35.872495,139.824236
