name,latitude,longitude
埼玉県,鴻巣市
下生出塚,36.059595,139.527377
幸,36.060484,139.497358
上生出塚,36.059084,139.528933
加美,36.065826,139.504297
宮地,36.065332,139.512820
雷電,36.064158,139.509600
榎戸,36.106541,139.442716
逆川,36.054743,139.509972
本宮,36.064022,139.511828
富士見,36.053238,139.513813
緑,36.064326,139.499147
本,36.058529,139.517093
堤,36.062299,139.496604
鎌塚,36.109012,139.450920
吹上本,36.106376,139.452612
神明,36.069351,139.503010
大間,36.065005,139.502876
小松,36.040377,139.525006
ひばり野,36.065653,139.528474
人形,36.052476,139.521233
天神,36.060093,139.519044
新宿,36.115848,139.441075
赤見台,36.085766,139.478231
南,36.102548,139.445800
すみれ野,36.084088,139.476935
吹上,36.093286,139.454708
吹上富士見,36.098576,139.459309
稲荷,36.080442,139.483963
栄,36.060814,139.507250
生出塚,36.062534,139.526138
筑波,36.103700,139.459650
松原,36.040516,139.518781
中井,36.088764,139.471879
中央,36.065830,139.522558
愛の,36.091063,139.472129
赤城台,36.118796,139.509270
三ツ木,36.092521,139.471537
西中曽根,36.057936,139.542019
北中野,36.058004,139.490850
登戸,36.066976,139.493367
三町免,36.084646,139.459270
市ノ縄,36.076807,139.507918
上会下,36.098544,139.547880
宮前,36.070852,139.488904
川面,36.094176,139.480256
明用,36.090278,139.456037
北新宿,36.109631,139.438793
荊原,36.098346,139.435093
八幡田,36.075742,139.498628
赤城,36.119361,139.515129
前砂,36.092934,139.463554
寺谷,36.084302,139.496616
新井,36.095992,139.532496
鴻巣,36.069095,139.517553
安養寺,36.077324,139.525017
袋,36.098568,139.471921
境,36.096524,139.543007
下谷,36.048905,139.548201
下忍,36.107541,139.465872
北根,36.113153,139.525255
関新田,36.098099,139.527915
常光,36.046037,139.557973
上谷,36.057652,139.533227
箕田,36.079867,139.478585
大芦,36.091246,139.443945
郷地,36.074457,139.536537
糠田,36.063041,139.482033
小谷,36.074042,139.469166
笠原,36.067455,139.552890
広田,36.106279,139.513736
屈巣,36.089212,139.511123
滝馬室,36.048476,139.500937
氷川,36.050500,139.512761
原馬室,36.038701,139.508325
