name,latitude,longitude
埼玉県,三郷市
鎌倉,35.7951,139.863958
彦沢,35.834422,139.873106
丹後,35.859198,139.891073
彦糸,35.861416,139.850043
彦野,35.844867,139.862837
采女新田,35.864129,139.863698
彦成,35.859509,139.879898
下彦川戸,35.849058,139.864884
彦音,35.855546,139.843046
上彦川戸,35.849825,139.8631
戸ヶ崎,35.79818,139.859365
番匠免,35.838138,139.872181
寄巻,35.796381,139.865061
仁蔵,35.847365,139.877886
さつき平,35.851337,139.8656
笹塚,35.841627,139.872619
三郷,35.843811,139.88396
新三郷ららシティ,35.851985,139.875521
早稲田,35.859476,139.885569
前間,35.863376,139.891281
新和,35.810105,139.88055
高州,35.784008,139.88455
岩野木,35.833053,139.886149
采女,35.860056,139.861341
栄,35.808199,139.873111
後谷,35.862373,139.883208
彦倉,35.838438,139.848297
鷹野,35.807963,139.878785
彦江,35.827239,139.85405
上口,35.835739,139.849476
小谷堀,35.865164,139.88645
大広戸,35.846468,139.875363
茂田井,35.839287,139.874796
上彦名,35.850247,139.855752
南蓮沼,35.84553,139.864613
田中新田,35.862391,139.89387
東,35.790474,139.88611
半田,35.862884,139.870835
幸房,35.837544,139.879295
中央,35.83299,139.875262
谷中,35.826073,139.881944
市助,35.826236,139.88473
彦川戸,35.846955,139.847266
天神,35.843934,139.847928
泉,35.839904,139.860441
ピアラシティ,35.842663,139.85531
駒形,35.847569,139.864536
花和田,35.826831,139.860258
インター南,35.832443,139.860164
谷口,35.826017,139.870362
