let,num
平,39
方,18
領,15
家,15
岸,17
木,87
田,296
谷,136
本,97
新,196
塚,64
所,14
水,14
土,12
飯,15
屋,19
三,41
和,35
西,87
井,79
内,31
野,153
郷,35
中,145
林,19
川,105
島,66
根,40
清,12
河,21
寺,36
宮,65
前,29
高,50
ツ,20
馬,17
大,130
上,173
加,15
竹,15
見,39
沼,52
東,91
成,11
原,107
今,16
羽,21
日,30
吉,43
仲,14
下,142
門,15
手,24
間,45
桜,14
堀,28
の,13
北,63
袋,19
小,87
山,103
砂,16
ヶ,24
笹,13
丸,16
岡,32
崎,60
柳,31
口,23
南,80
御,11
蔵,12
蓮,11
子,24
阿,13
八,24
丘,20
戸,90
町,49
里,23
関,17
久,59
保,36
元,23
宿,32
道,17
場,27
栄,32
神,28
白,14
地,19
明,18
瀬,32
駒,12
太,15
鹿,11
松,43
幡,11
広,25
芝,15
尾,20
畑,13
美,14
園,14
岩,20
城,13
台,70
倉,23
古,23
ケ,47
出,18
森,11
金,20
福,14
増,15
長,22
須,19
賀,12
曽,19
黒,12
青,17
富,30
士,13
藤,31
江,18
伊,19
喜,13
波,12
み,16
越,15
泉,25
稲,11
石,23
市,15
目,15
安,21
赤,23
坂,21
玉,31
生,29
央,26
向,11
ノ,24
沢,53
永,12
行,15
緑,18
荒,14
花,14
栗,11
児,26
蒲,22
菖,12
彦,12
字,12
