let,num
片,2
柳,3
新,3
田,8
栄,1
鶴,1
舞,1
坂,4
戸,6
浅,3
羽,3
野,1
竹,1
之,1
内,1
関,1
間,1
山,4
西,3
八,1
幡,1
に,1
っ,1
さ,1
い,1
花,2
み,1
ず,1
木,3
緑,1
泉,1
鎌,1
倉,1
東,2
今,1
長,1
岡,1
本,1
金,1
千,1
代,1
粟,1
生,1
南,1
仲,1
日,2
の,2
出,1
溝,1
端,1
け,1
や,1
き,1
台,1
影,1
小,3
三,1
光,1
堀,2
込,1
ケ,1
谷,1
芦,1
清,1
水,1
中,3
富,1
元,1
末,1
広,1
薬,1
師,1
北,3
峰,1
欠,1
ノ,1
上,2
沢,1
里,1
伊,1
豆,1
和,2
厚,1
川,1
宮,1
萱,1
方,1
塚,3
崎,1
成,1
願,1
寺,2
吉,1
善,1
能,1
大,1
四,1
市,1
場,1
青,1
口,1
島,1
森,1
越,1
紺,1
屋,1
横,1
沼,2
多,1
目,1
赤,1
尾,1
石,1
井,1
イ,1
ン,1
タ,1
ー,1
