name,latitude,longitude
埼玉県,戸田市
下笹目,35.827251,139.658908
早瀬,35.805601,139.648279
新曽南,35.809511,139.668697
喜沢南,35.805681,139.690909
上戸田,35.819940,139.673543
下前,35.807075,139.686313
上戸田,35.813478,139.673152
美女木,35.828304,139.634318
川岸,35.802643,139.682754
本,35.809592,139.676116
氷川,35.809990,139.660773
下戸田,35.813663,139.686263
笹目,35.806175,139.645699
中,35.809150,139.689740
南,35.805389,139.673073
喜沢,35.808877,139.695836
笹目北,35.823426,139.654813
笹目南,35.809572,139.651793
曲本,35.830480,139.623151
美女木,35.832027,139.651284
重瀬,35.824334,139.626518
内谷,35.816100,139.632127
戸田公園,35.801814,139.668117
新曽,35.820207,139.665708
