name,latitude,longitude
埼玉県,所沢市
美原,35.814929,139.461329
西住吉,35.785525,139.46665
くすのき台,35.78706,139.477636
並木,35.807948,139.478069
花園,35.815014,139.458718
喜多,35.798933,139.462932
小手指南,35.782684,139.427666
御幸,35.792398,139.470617
小手指,35.795134,139.437464
星の宮,35.786414,139.460994
新郷,35.803134,139.506058
有楽,35.793631,139.466797
金山,35.790807,139.461496
東,35.790135,139.471198
寿,35.789207,139.467517
中富南,35.810041,139.490606
榎,35.805848,139.44476
和ケ原,35.808619,139.407672
緑,35.803565,139.456082
北有楽,35.79626,139.465848
旭,35.791167,139.475849
西所沢,35.792962,139.455805
中新井,35.816307,139.475224
弥生,35.804218,139.460828
日吉,35.787257,139.471101
東所沢,35.79567,139.518172
宮本,35.793452,139.461583
小手指台,35.791662,139.442006
松葉,35.807568,139.457675
東住吉,35.784193,139.47053
こぶし,35.799488,139.484095
小手指元,35.792733,139.437718
泉,35.801001,139.460051
上新井,35.789928,139.450791
元,35.789209,139.465026
西狭山ケ丘,35.804593,139.407712
狭山ケ丘,35.811222,139.410762
中新井,35.819248,139.471283
北所沢,35.810594,139.453908
東狭山ケ丘,35.812644,139.423538
南住吉,35.782203,139.468801
若狭,35.802231,139.417753
けやき台,35.798354,139.457366
西新井,35.794024,139.474307
青葉台,35.806944,139.441303
北野新,35.800615,139.430793
林,35.808193,139.402525
東新井,35.795172,139.480034
北中,35.811072,139.441638
若松,35.802187,139.483754
東所沢和田,35.796443,139.507597
向陽,35.810958,139.447856
松が丘,35.775038,139.464772
三ケ島,35.799809,139.414567
北野,35.792985,139.426433
岩岡,35.816978,139.442325
所沢新,35.81928,139.460852
下新井,35.805188,139.489825
北原,35.807532,139.485353
堀之内,35.787716,139.395279
亀ケ谷,35.808143,139.518267
糀谷,35.791992,139.391724
本郷,35.794637,139.523769
松郷,35.797405,139.501878
北秋津,35.781794,139.480129
神米金,35.823751,139.465719
日比田,35.806167,139.505519
城,35.800709,139.528878
牛沼,35.795678,139.489477
久米,35.780351,139.46313
上安松,35.78598,139.4899
下安松,35.787864,139.504527
坂之下,35.811834,139.537801
北岩岡,35.82195,139.445813
荒幡,35.776004,139.447185
上山口,35.774956,139.421171
南永井,35.816795,139.524933
中富,35.821038,139.485979
山口,35.778544,139.435301
勝楽寺,35.773236,139.397635
下富,35.833131,139.462623
