name,latitude,longitude
埼玉県,鶴ヶ島市
富士見,35.947686,139.415127
南,35.922419,139.405874
共栄,35.947199,139.399670
三ツ木新田,35.922929,139.382490
松ヶ丘,35.927975,139.417189
羽折,35.950249,139.382175
三ツ木新,35.925969,139.392034
新,35.938251,139.373930
富士見,35.951079,139.421078
脚折,35.950060,139.390191
柳戸,35.922264,139.391744
中新田,35.938548,139.368978
鶴ヶ丘,35.934160,139.413402
上新田,35.931394,139.362480
町屋,35.927417,139.359586
五味ヶ谷,35.945366,139.421170
下新田,35.944247,139.381390
上広谷,35.940810,139.417668
脚折,35.942579,139.400492
三ツ木,35.929049,139.391857
藤金,35.940390,139.406052
太田ヶ谷,35.923513,139.400169
高倉,35.930306,139.380203
