name,latitude,longitude
埼玉県,吉川市
中島,35.878188,139.866809
中川台,35.878578,139.841542
二ツ沼,35.874504,139.869626
会野谷,35.897431,139.859801
道庭,35.865983,139.862083
木売,35.875263,139.845689
新栄,35.890460,139.860893
道庭,35.861600,139.846920
会野谷,35.898828,139.859769
高久,35.869124,139.846139
皿沼,35.884208,139.876875
中井,35.885710,139.864247
高富,35.871972,139.846130
きよみ野,35.899578,139.854929
三輪野江,35.870649,139.873208
川富,35.896723,139.846766
関新田,35.897650,139.873581
皿沼,35.888331,139.869716
上笹塚,35.902435,139.857917
中井,35.893651,139.866533
関,35.894932,139.847334
中曽根,35.865018,139.846435
二ツ沼,35.873751,139.876396
平沼,35.884288,139.844402
吉屋,35.893015,139.874553
鹿見塚,35.889388,139.872697
吉川,35.889014,139.844126
小松川,35.883885,139.862766
美南,35.872552,139.849746
保,35.879847,139.844861
吉川団地,35.891554,139.847396
上笹塚,35.903380,139.869494
富新田,35.875781,139.862627
川野,35.899558,139.847920
関新田,35.895281,139.868364
中島,35.878596,139.870304
高富,35.873659,139.855528
木売,35.877017,139.851248
旭,35.930844,139.841813
土場,35.877372,139.883007
鍋小路,35.910465,139.866692
平沼,35.889099,139.857109
飯島,35.880030,139.882949
中野,35.882857,139.859309
吉川,35.891288,139.853344
栄,35.886494,139.854013
須賀,35.897798,139.833882
木売新田,35.878143,139.860769
拾壱軒,35.921734,139.838168
中曽根,35.868651,139.864247
保,35.881912,139.849669
半割,35.883403,139.885708
高久,35.871797,139.862021
吉屋,35.891825,139.885439
平方新田,35.898895,139.878836
加藤,35.887256,139.882975
八子新田,35.916086,139.864978
深井新田,35.906899,139.873666
南広島,35.919590,139.847120
下内川,35.923582,139.858957
上内川,35.931997,139.852762
三輪野江,35.872971,139.887343
川藤,35.906706,139.850843
共保,35.879254,139.840591
