name,latitude,longitude
滋賀県,甲賀市
甲賀町油日,34.878963,136.25822
甲賀町櫟野,34.88694,136.282792
甲賀町岩室,34.930241,136.251533
甲賀町上野,34.892548,136.232707
甲賀町大久保,34.904681,136.234688
甲賀町大原市場,34.903327,136.210445
甲賀町大原上田,34.914938,136.258332
甲賀町大原中,34.912212,136.232133
甲賀町隠岐,34.927036,136.197079
甲賀町鹿深台,34.896381,136.233892
甲賀町神,34.89614,136.299218
甲賀町小佐治,34.932887,136.225122
甲賀町五反田,34.866162,136.240578
甲賀町相模,34.908137,136.216969
甲賀町神保,34.927137,136.214539
甲賀町高野,34.91004,136.204604
甲賀町高嶺,34.868097,136.223996
甲賀町滝,34.891894,136.207368
甲賀町田堵野,34.895163,136.225025
甲賀町鳥居野,34.913868,136.223744
甲賀町拝坂,34.902439,136.224836
甲賀町毛枚,34.884769,136.216114
甲賀町和田,34.880458,136.227596
甲南町池田,34.903424,136.190268
甲南町磯尾,34.893366,136.150516
甲南町市原,34.933829,136.156283
甲南町葛木,34.929197,136.179638
甲南町上馬杉,34.872344,136.208185
甲南町希望ケ丘,34.950145,136.17767
甲南町希望ケ丘本,34.938101,136.178513
甲南町柑子,34.897842,136.175035
甲南町耕心,34.942223,136.162653
甲南町塩野,34.922586,136.130704
甲南町下馬杉,34.879915,136.196452
甲南町新治,34.915734,136.160061
甲南町杉谷,34.908198,136.12876
甲南町寺庄,34.919908,136.189503
甲南町野川,34.887773,136.184074
甲南町野尻,34.914781,136.178189
甲南町野田,34.923695,136.168039
甲南町稗谷,34.945522,136.18465
甲南町深川,34.938681,136.167053
甲南町深川市場,34.931139,136.162234
甲南町宝木,34.943836,136.158799
甲南町森尻,34.93988,136.160075
甲南町竜法師,34.909512,136.169562
信楽町江田,34.864289,136.048481
信楽町小川,34.844249,136.03332
信楽町小川出,34.856717,136.041062
信楽町上朝宮,34.856749,135.992243
信楽町黄瀬,34.933098,136.057236
信楽町神山,34.857247,136.083435
信楽町下朝宮,34.869586,135.98231
信楽町杉山,34.839853,136.015427
信楽町田代,34.906811,136.013631
信楽町多羅尾,34.817133,136.060933
信楽町勅旨,34.891642,136.0751
信楽町中野,34.862635,136.017269
信楽町長野,34.881008,136.047179
信楽町西,34.872309,136.041767
信楽町畑,34.884753,136.010994
信楽町柞原,34.864537,136.030499
信楽町牧,34.911238,136.086969
信楽町宮尻,34.872976,135.960865
信楽町宮,34.941659,136.090668
土山町山女原,34.915579,136.354126
土山町鮎河,34.957598,136.343885
土山町市場,34.940161,136.248087
土山町猪鼻,34.920292,136.312183
土山町大河原,34.995071,136.377965
土山町大澤,34.925202,136.270594
土山町青土,34.965327,136.30362
土山町大野,34.956386,136.238872
土山町北土山,34.939641,136.293414
土山町黒川,34.932457,136.332128
土山町黒滝,34.949399,136.369506
土山町瀬ノ音,34.961129,136.28303
土山町笹路,34.906665,136.343392
土山町徳原,34.945806,136.229871
土山町頓宮,34.950461,136.265235
土山町野上野,34.951379,136.273648
土山町平子,34.951071,136.287366
土山町前野,34.937661,136.259867
土山町南土山,34.9252,136.291659
土山町山中,34.903845,136.325241
水口町暁,34.965989,136.171627
水口町秋葉,34.966956,136.184515
水口町朝日が丘,34.974183,136.178988
水口町綾野,34.974971,136.169577
水口町泉,34.98351,136.1327
水口町今郷,34.963515,136.208395
水口町岩坂,34.957662,136.129962
水口町植,34.97463,136.143812
水口町宇川,34.964617,136.142034
水口町牛飼,34.93694,136.117539
水口町宇田,34.971077,136.147516
水口町梅が丘,34.970226,136.167337
水口町春日,35.017442,136.163638
水口町嶬峨,34.95078,136.197701
水口町北泉,34.984275,136.144334
水口町北内貴,34.960038,136.162018
水口町北脇,34.97883,136.151427
水口町貴生川,34.955787,136.147108
水口町京,34.968161,136.179502
水口町古城が丘,34.974667,136.182999
水口町酒人,34.975308,136.134181
水口町笹が丘,34.98666,136.160055
水口町さつきが丘,34.987363,136.146023
水口町三大寺,34.944317,136.127931
水口町下山,34.996072,136.133212
水口町松栄,34.968045,136.173589
水口町城東,34.972989,136.168778
水口町城内,34.973878,136.16551
水口町新城,34.966893,136.195171
水口町新,34.972452,136.177059
水口町神明,34.967349,136.175624
水口町杣中,34.938537,136.151017
水口町高塚,34.964829,136.176256
水口町高山,34.953596,136.139573
水口町中畑,34.978444,136.210966
水口町中邸,34.971137,136.161633
水口町名坂,34.982295,136.170548
水口町西林口,34.975066,136.160731
水口町日電,34.976286,136.16591
水口町八光,34.970123,136.170066
水口町八田,35.01641,136.146207
水口町林口,34.97235,136.157864
水口町伴中山,34.996024,136.149711
水口町東名坂,34.979642,136.172302
水口町東林口,34.974866,136.16335
水口町ひのきが丘,34.992441,136.159595
水口町本,34.969446,136.176911
水口町本丸,34.970911,136.164172
水口町松尾,34.987329,136.185244
水口町的場,34.968653,136.162466
水口町水口,34.980461,136.192891
水口町南林口,34.971427,136.159923
水口町宮の前,34.967387,136.169714
水口町虫生野,34.950969,136.166069
水口町虫生野中央,34.952059,136.156164
水口町虫生野虹の,34.949266,136.155147
水口町本綾野,34.976248,136.173144
水口町元,34.966081,136.182057
水口町八坂,34.972658,136.172028
水口町山,35.002056,136.175901
水口町山上,34.92985,136.134629
水口町鹿深,34.969003,136.171521
水口町和野,34.944424,136.217672
水口町三本柳,34.950186,136.149335
