let,num
甲,46
賀,23
町,149
油,1
日,4
櫟,1
野,21
岩,2
室,1
上,6
大,8
久,1
保,2
原,8
市,4
場,4
田,10
中,8
隠,1
岐,1
鹿,2
深,4
台,1
神,4
小,3
佐,1
治,2
五,1
反,1
相,1
模,1
高,4
嶺,1
滝,2
堵,1
鳥,1
居,1
拝,1
坂,5
毛,1
枚,1
和,2
南,25
池,1
磯,1
尾,3
葛,1
木,2
馬,2
杉,4
希,2
望,2
ケ,2
丘,8
本,5
柑,1
子,2
耕,1
心,1
塩,1
下,3
新,3
谷,2
寺,2
庄,1
川,8
尻,3
稗,1
宝,1
森,1
竜,1
法,1
師,1
信,19
楽,19
江,1
出,1
朝,3
宮,6
黄,1
瀬,2
山,31
代,1
多,1
羅,1
勅,1
旨,1
長,1
西,2
畑,2
柞,1
牧,1
土,23
女,1
鮎,1
河,2
猪,1
鼻,1
澤,1
青,1
北,4
黒,2
ノ,1
音,1
笹,2
路,1
徳,1
頓,1
平,1
前,2
水,65
口,69
暁,1
秋,1
葉,1
が,6
綾,2
泉,2
今,1
郷,1
植,1
宇,2
牛,1
飼,1
梅,1
春,1
嶬,1
峨,1
内,2
貴,2
脇,1
生,4
京,1
古,1
城,4
酒,1
人,1
さ,1
つ,1
き,2
三,2
松,2
栄,1
東,3
明,1
杣,1
塚,1
邸,1
名,2
林,4
電,1
八,3
光,1
伴,1
ひ,1
の,3
丸,1
的,1
虫,3
央,1
虹,1
元,1
柳,1
