name,latitude,longitude
滋賀県,湖南市
朝国,34.990005,136.119941
雨山,35.005596,136.047226
石部,35.001067,136.044824
石部が丘,35.000527,136.057547
石部口,35.011285,136.066001
石部中央,35.009762,136.058983
石部東,35.007741,136.061067
石部緑台,35.01158,136.042815
岩根中央,35.000334,136.119721
梅影,35.009491,136.124103
近江台,35.036693,136.075832
大池,35.00278,136.125453
岡出,35.006322,136.052768
北山台,35.025739,136.071255
柑子袋,35.002475,136.072658
小砂,35.007479,136.128313
サイドタウン,35.043699,136.065641
下田,35.02721,136.129821
正福寺,35.022074,136.086971
高松,35.014161,136.131885
中央,35.003233,136.085264
夏見,34.990887,136.094899
西寺,34.980351,136.053435
西峰,35.016192,136.127259
針,34.98635,136.079677
日枝,35.023404,136.125314
東寺,34.979273,136.062861
平松,34.991681,136.0753
宝来坂,35.002385,136.052857
菩提寺,35.039377,136.078072
菩提寺西,35.032261,136.062417
丸山,34.998186,136.053053
三雲,34.968178,136.106283
水戸,35.008893,136.120985
宮の森,35.003057,136.062036
吉永,34.984936,136.101888
若竹,35.017009,136.12401
日枝山手台,35.017535,136.117994
岩根,35.009347,136.103198
柑子袋東,34.99948,136.072657
