name,latitude,longitude
滋賀県,米原市
朝妻筑摩,35.324545,136.272739
岩脇,35.325782,136.295303
磯,35.306845,136.261792
一色,35.336803,136.358184
入江,35.307777,136.273924
梅ケ原,35.304832,136.290679
梅ケ原栄,35.311543,136.286316
大鹿,35.352136,136.345387
大清水,35.377291,136.404855
大野木,35.364472,136.402760
加勢野,35.367637,136.359330
上多良,35.324973,136.285261
北方,35.364632,136.345585
清滝,35.351444,136.391561
榑ケ畑,35.286232,136.356322
甲津原,35.512992,136.364899
醒井,35.330980,136.348298
志賀谷,35.361340,136.357154
下多良,35.318749,136.285883
上平寺,35.388824,136.416208
新庄,35.335933,136.312823
春照,35.385130,136.378173
菅江,35.371589,136.338764
須川,35.354669,136.406705
杉澤,35.372364,136.386971
太平寺,35.412846,136.390730
高番,35.374762,136.378890
多和田,35.338821,136.336325
長久寺,35.348681,136.418249
寺倉,35.322585,136.313800
堂谷,35.345565,136.351741
長岡,35.354116,136.366428
中多良,35.319591,136.281291
西山,35.370596,136.369555
日光寺,35.340071,136.320273
能登瀬,35.330200,136.322771
藤川,35.380922,136.429629
舟崎,35.347426,136.306590
本郷,35.340347,136.352513
米原,35.314593,136.293935
万願寺,35.355373,136.380879
箕浦,35.333297,136.300258
村木,35.361752,136.386015
弥高,35.387132,136.396413
山室,35.357903,136.333642
間田,35.387744,136.363962
本市場,35.380891,136.362858
天満,35.377790,136.367939
下板並,35.429613,136.369970
上板並,35.435499,136.369317
大久保,35.424911,136.371926
小泉,35.413377,136.374429
烏脇,35.392287,136.341054
村居田,35.398498,136.337874
坂口,35.396876,136.347710
野一色,35.389031,136.354897
朝日,35.384458,136.342846
池下,35.373884,136.359937
市場,35.381216,136.355667
夫馬,35.376002,136.346030
上野,35.394298,136.382067
高溝,35.346335,136.296569
長沢,35.349601,136.286534
世継,35.334158,136.279484
顔戸,35.343034,136.305804
宇賀野,35.341364,136.284436
飯,35.332441,136.290518
西円寺,35.319209,136.302812
番場,35.308712,136.311032
柏原,35.334671,136.398783
梓河内,35.321524,136.379547
上丹生,35.302888,136.350355
枝折,35.317957,136.356482
下丹生,35.312909,136.344099
三吉,35.317497,136.322692
西坂,35.311307,136.325826
河南,35.322320,136.336195
樋口,35.320449,136.329337
曲谷,35.477011,136.349375
吉槻,35.460006,136.359944
甲賀,35.466475,136.348817
小田,35.394863,136.365302
井之口,35.397520,136.356830
伊吹,35.403274,136.377790
