name,latitude,longitude
滋賀県,守山市
赤野井,35.07941,135.960921
阿村,35.03993,135.992387
荒見,35.082586,135.982046
石田,35.071458,135.976761
伊勢,35.041959,135.985897
今市,35.080484,135.988879
今宿,35.054047,135.989085
今宿,35.053594,135.981228
今浜,35.115341,135.95811
梅田,35.052304,135.995432
焔魔堂,35.049111,135.984315
大林,35.06016,135.966828
岡,35.050888,136.00399
笠原,35.089253,135.990141
勝部,35.051401,135.991365
勝部,35.047908,135.998715
金森,35.059611,135.980651
川田,35.079708,136.0036
小島,35.075121,135.99796
木浜,35.097213,135.950683
小浜,35.118376,135.984465
幸津川,35.1127,135.977592
下之郷,35.065012,135.990447
下之郷,35.065037,135.983707
十二里,35.068163,135.970259
新庄,35.095952,135.996382
杉江,35.073547,135.959647
洲本,35.089394,135.975849
大門,35.052497,135.970789
立田,35.100601,135.979555
立入,35.053311,136.00864
千代,35.042767,135.99754
中,35.086044,135.995513
服部,35.103728,135.996378
播磨田,35.072405,135.989167
浮気,35.049495,136.001065
二町,35.045985,135.980463
古高,35.049722,135.975503
欲賀,35.062373,135.961217
水保,35.105535,135.958528
三宅,35.061839,135.974018
森川原,35.064982,135.953526
守山,35.054306,135.992484
守山,35.062949,135.984507
矢島,35.084787,135.969268
山賀,35.071646,135.951245
横江,35.053373,135.967425
吉身,35.055661,135.996729
吉身,35.054398,136.00192
環境学習都市宣言記念公園,35.109091,135.97055699999999
