name,latitude,longitude
滋賀県,野洲市
菖蒲,35.134833,135.999997
安治,35.125458,136.009665
市三宅,35.080241,136.016642
井口,35.111370,136.001647
入,35.092044,136.073139
近江富士,35.040131,136.038033
大篠原,35.072488,136.068988
大畑,35.056618,136.015000
乙窪,35.098702,136.006518
上屋,35.086768,136.047730
喜合,35.132325,136.003824
北,35.098862,136.043203
北櫻,35.050140,136.050533
北野,35.069838,136.022532
北比江,35.096718,136.009328
木部,35.100719,136.023089
久野部,35.074099,136.027803
小篠原,35.067709,136.035328
五条,35.116069,136.014350
小堤,35.070430,136.055232
五之里,35.081863,136.025118
小比江,35.096117,136.011827
小南,35.105802,136.047870
栄,35.072263,136.031911
須原,35.124866,136.004368
高木,35.096326,136.055319
竹ヶ丘,35.081027,136.012231
竹生,35.084009,136.010918
辻,35.074188,136.046980
堤,35.119507,135.995851
冨波乙,35.078904,136.033247
冨波甲,35.082536,136.037842
中北,35.095349,136.035136
長島,35.093758,136.063560
永原,35.089418,136.037070
西河原,35.103800,136.016746
野田,35.128267,136.020746
比江,35.088428,136.012532
比留田,35.116651,136.025969
三上,35.049728,136.031134
南櫻,35.033584,136.039422
妙光寺,35.059045,136.033720
虫生,35.102213,136.033084
野洲,35.063887,136.007133
八夫,35.092149,136.020981
行畑,35.061966,136.024445
吉川,35.131110,135.990406
吉地,35.106980,136.013575
六条,35.108916,136.007712
冨波,35.078904,136.033247
