name,latitude,longitude
島根県,益田市
赤雁,34.719865,131.888288
赤城,34.674830,131.836138
あけぼの西,34.681790,131.837646
あけぼの東,34.678521,131.843164
あけぼの本,34.680171,131.840662
愛栄,34.577695,131.742435
有明,34.674179,131.847166
有田,34.641660,131.719203
飯田,34.667904,131.815452
飯浦,34.670228,131.699157
猪木谷,34.604452,131.870444
岩倉,34.637166,131.894131
馬谷,34.641789,131.910581
梅月,34.639752,131.831488
駅前,34.677688,131.838495
大草,34.700241,131.889894
大谷,34.665984,131.876031
乙子,34.683648,131.892501
乙吉,34.685084,131.847676
柏原,34.593235,131.754816
桂平,34.592882,131.730458
金山,34.745719,131.912451
上黒谷,34.607780,131.728366
川登,34.626271,131.763553
神田,34.602941,131.805714
木部,34.736326,131.876059
久々茂,34.666793,131.898191
久城,34.699355,131.844707
黒周,34.605957,131.747656
小浜,34.671781,131.724340
幸,34.673252,131.854159
栄,34.677910,131.833258
下波田,34.645587,131.930962
下本郷,34.689476,131.852243
昭和,34.677489,131.850214
白岩,34.603904,131.835758
須子,34.672693,131.827120
薄原,34.578609,131.842645
隅村,34.612120,131.817367
染羽,34.679389,131.864324
高島,34.835675,131.836001
高津,34.684621,131.823870
高津,34.683665,131.801805
多田,34.663403,131.852249
種村,34.719233,131.935000
津田,34.716175,131.872039
土田,34.754928,131.897155
土井,34.669383,131.856179
遠田,34.704690,131.861082
常盤,34.674273,131.844498
戸田,34.668242,131.744597
栃山,34.637092,131.878254
中垣内,34.641152,131.753067
長沢,34.610054,131.916261
中吉田,34.687197,131.838077
七尾,34.675619,131.860986
西平原,34.751756,131.881141
波田,34.633436,131.945123
東,34.682961,131.859037
匹見町石谷,34.542768,131.930667
匹見町落合,34.590037,132.014390
匹見町紙祖,34.515824,131.988626
匹見町澄川,34.604069,131.946815
匹見町匹見,34.564733,132.025394
匹見町広瀬,34.586418,131.983185
匹見町道川,34.649972,132.101307
左ヶ山,34.651407,131.838711
本俣賀,34.650330,131.828549
本,34.676498,131.859450
水分,34.671299,131.847471
美都町朝倉,34.672531,131.927257
美都町板井川,34.704255,132.060363
美都町宇津川,34.688817,132.030499
美都町久原,34.690574,131.975584
美都町小原,34.690408,131.930053
美都町笹倉,34.664063,131.920851
美都町仙道,34.672812,131.946156
美都町都茂,34.665194,131.993557
美都町丸茂,34.688193,132.001871
美都町三谷,34.692327,131.950316
美都町山本,34.658665,131.976732
美濃地,34.629023,131.730100
三宅,34.676739,131.855422
向横田,34.611253,131.791003
元,34.674175,131.839253
安富,34.643027,131.807407
山折,34.699851,131.910474
喜阿弥,34.669597,131.755864
白上,34.650975,131.777576
市原,34.668163,131.783065
虫追,34.643760,131.788896
内田,34.666926,131.803122
下種,34.724899,131.917930
横田,34.628786,131.810891
中須,34.699495,131.831810
中島,34.689854,131.830855
かもしま北,34.695863,131.832376
かもしま西,34.693677,131.831821
かもしま東,34.693845,131.835689
