name,latitude,longitude
静岡県,熱海市
相の原,35.106068,139.046549
青葉,35.085230,139.049086
網代,35.040644,139.094774
熱海,35.099615,139.044227
伊豆山,35.121402,139.073631
泉,35.137072,139.074162
海光,35.106237,139.084293
春日,35.103621,139.081085
上宿,35.098256,139.070659
上多賀,35.067614,139.054462
銀座,35.096628,139.073523
小嵐,35.090400,139.066108
咲見,35.099710,139.073392
桜木,35.085158,139.067747
桜,35.087814,139.065881
笹良ヶ台,35.111767,139.060951
清水,35.093995,139.070453
下多賀,35.041898,139.063722
昭和,35.091779,139.070787
田原本,35.103274,139.077957
中央,35.095421,139.071772
渚,35.094321,139.074550
西熱海,35.104460,139.061833
西山,35.103842,139.066314
梅園,35.098987,139.058210
梅花,35.083105,139.063463
初島,35.040002,139.171544
林ガ丘,35.102746,139.072770
東海岸,35.100265,139.078489
日金,35.111953,139.064080
福道,35.098134,139.066446
緑ガ丘,35.106629,139.067024
水口,35.095589,139.067860
紅葉ガ丘,35.087398,139.058976
桃山,35.106892,139.077762
山手,35.088790,139.047741
和田,35.089767,139.071396
和田浜南,35.089842,139.079432
