let,num
赤,1
池,3
安,1
久,2
路,1
新,21
島,23
家,2
田,25
五,1
十,2
子,3
壱,1
貫,1
地,2
一,3
色,2
今,1
之,13
浦,1
岩,2
井,1
室,1
請,2
負,2
宇,1
兵,3
衛,3
海,2
老,2
塚,4
大,9
平,10
泉,2
保,1
立,3
野,11
当,1
所,1
中,10
瀬,4
原,8
岡,5
掛,3
下,11
笠,4
梅,1
鎌,1
上,10
屋,3
郷,4
神,4
増,3
部,4
本,5
万,4
能,2
南,5
加,1
茂,1
川,1
袋,1
北,1
城,1
崎,2
刑,1
草,1
気,1
源,1
合,1
代,1
国,1
府,1
台,3
小,4
駒,1
場,1
匂,3
坂,3
笹,1
鮫,1
塩,1
敷,1
篠,1
太,3
郎,2
白,2
拍,1
羽,1
開,1
貝,3
真,1
光,1
寺,4
出,1
須,2
恵,1
清,2
庵,2
浜,5
千,1
手,1
堂,1
惣,1
高,2
木,2
見,4
丘,3
玉,1
越,1
馬,1
谷,2
天,2
龍,1
東,9
名,1
飛,1
松,9
富,4
里,1
豊,6
西,6
鳥,1
長,2
賀,1
森,4
二,2
宮,4
浅,1
間,2
箱,1
稗,2
山,2
脇,1
彦,1
言,1
入,1
作,1
蛭,1
福,2
藤,2
士,2
堀,2
内,2
前,1
正,1
三,3
ケ,5
水,1
付,1
緑,1
伊,1
明,2
向,3
竹,1
虫,1
生,1
元,1
社,1
弥,1
竜,2
洋,2
和,1
口,1
