name,latitude,longitude
静岡県,菊川市
青葉台,34.756960,138.094911
赤土,34.692889,138.095058
朝日,34.752591,138.089725
牛渕,34.754319,138.114659
小出,34.739205,138.092383
大石,34.690060,138.071971
河東,34.672758,138.093814
上平川,34.710015,138.078880
加茂,34.742582,138.081170
川上,34.699939,138.115308
神尾,34.734590,138.112951
倉沢,34.790611,138.131359
小沢,34.746576,138.122334
沢水加,34.773058,138.136059
猿渡,34.703142,138.107853
下内田,34.716070,138.071197
下平川,34.707043,138.088583
高橋,34.688851,138.107905
棚草,34.705602,138.101853
丹野,34.721870,138.124172
潮海寺,34.774493,138.090222
月岡,34.729604,138.079850
土橋,34.726870,138.086794
堂山新田,34.678261,138.082646
富田,34.792802,138.099743
友田,34.789577,138.119064
中内田,34.734081,138.065375
仲島,34.758385,138.092314
奈良野,34.723636,138.084131
西方,34.774343,138.071425
西横地,34.729792,138.086524
半済,34.738767,138.100102
東横地,34.725230,138.113242
平尾,34.724307,138.065098
古谷,34.717680,138.135326
堀之内,34.766023,138.083780
本所,34.748175,138.096007
牧之原,34.740917,138.137824
三沢,34.718282,138.103287
嶺田,34.691785,138.079923
耳川,34.727106,138.077221
目木,34.711385,138.113089
柳,34.764053,138.089142
吉沢,34.773690,138.121364
和田,34.764331,138.105092
