let,num
青,1
木,1
旭,2
ヶ,1
丘,5
新,6
谷,4
泉,1
市,1
山,2
田,13
一,1
番,1
壱,2
町,2
大,4
宮,1
加,3
茂,2
川,3
屋,1
原,5
ケ,3
北,2
沢,3
清,1
住,1
幸,1
寿,1
栄,1
笹,1
佐,2
野,2
見,2
晴,1
台,6
地,2
三,3
恵,1
芝,1
本,6
末,1
広,2
千,1
枚,1
社,1
場,2
竹,1
倉,2
玉,2
多,1
呂,1
中,5
央,1
塚,1
鶴,1
喰,1
徳,1
富,3
島,1
長,1
伏,1
西,3
錦,1
が,2
若,2
萩,1
八,1
反,1
畑,1
初,1
音,1
東,4
光,1
日,2
の,1
出,1
平,2
小,1
路,1
藤,1
代,1
士,2
ビ,1
レ,1
ッ,1
ジ,1
芙,1
蓉,1
文,1
教,1
成,1
松,3
ツ,1
緑,1
南,4
二,1
好,1
柳,1
郷,1
梅,1
名,1
御,1
園,1
安,1
久,1
