let,num
相,1
生,2
愛,1
染,1
青,1
葉,1
秋,1
吉,3
旭,1
淡,1
島,7
飯,1
田,17
石,3
川,7
新,14
本,7
庵,1
原,19
今,2
泉,1
入,5
江,6
岡,4
南,11
船,6
有,2
東,12
坂,7
度,1
梅,3
が,3
ヶ,4
谷,7
上,6
永,1
楽,1
尻,3
台,2
恵,1
比,13
寿,1
追,1
分,1
大,8
内,5
沢,6
坪,1
手,1
平,2
興,5
津,6
井,2
清,7
見,3
寺,5
中,8
押,1
切,2
小,5
芝,1
尾,3
羽,1
折,1
戸,1
柏,1
春,1
日,3
水,4
神,3
蒲,7
金,1
栄,1
堰,1
北,6
矢,5
部,4
脇,2
木,2
の,4
下,8
地,4
銀,1
座,1
草,4
薙,3
一,1
里,2
山,9
杉,2
道,1
楠,2
河,3
港,3
駒,5
越,9
幸,1
桜,2
丘,2
橋,4
三,4
光,1
茂,2
野,6
宍,1
渋,1
崎,4
村,3
松,6
先,1
緑,3
承,1
元,2
庄,1
福,1
力,1
富,2
開,1
増,1
袖,1
師,1
高,5
宝,1
但,1
沼,2
立,2
花,1
千,3
歳,1
築,1
月,1
辻,1
鶴,1
舞,1
天,3
王,2
土,1
堂,1
林,1
葛,1
殿,1
巴,1
鳥,1
長,3
之,1
郷,2
七,1
ツ,1
屋,2
西,8
曲,2
久,1
保,3
二,1
丸,1
布,2
能,1
蜂,2
浜,1
半,1
左,1
衛,1
門,2
出,1
広,1
瀬,1
士,1
蛇,1
塚,1
堀,1
込,1
真,1
砂,7
馬,2
走,2
万,1
世,1
御,1
美,1
濃,1
輪,1
宮,3
加,1
代,3
向,1
迎,1
城,1
畑,1
八,7
間,1
倉,3
弥,1
由,12
阿,1
僧,1
宿,1
澤,2
町,1
横,6
和,1
伊,1
佐,1
丹,1
