name,latitude,longitude
静岡県,下田市
相玉,34.714225,138.916736
荒増,34.716340,138.931199
一丁目,34.676609,138.943461
宇土金,34.733602,138.922555
大賀茂,34.680551,138.904795
大沢,34.696768,138.907648
落合,34.727237,138.955907
柿崎,34.676303,138.966529
加増野,34.722981,138.871148
吉佐美,34.662271,138.920038
北湯ケ野,34.735065,138.897556
旧岡方村,34.676677,138.926405
河内,34.705816,138.944696
五丁目,34.669797,138.937020
三丁目,34.667875,138.945090
椎原,34.724756,138.918492
敷根,34.681245,138.934042
白浜,34.699530,138.965058
須崎,34.662667,138.971703
須原,34.754550,138.915369
外ケ岡,34.674554,138.951361
武ガ浜,34.674072,138.948007
高馬,34.690982,138.935755
立野,34.696595,138.944286
田牛,34.641742,138.908380
中,34.684083,138.952127
西中,34.689771,138.940834
西本郷,34.681647,138.943213
二丁目,34.673976,138.944139
東中,34.691947,138.948084
東本郷,34.679932,138.945737
堀之内,34.718280,138.940548
本郷,34.684328,138.936921
箕作,34.729987,138.939001
横川,34.715858,138.898069
四丁目,34.674535,138.940807
蓮台寺,34.696567,138.928894
六丁目,34.673175,138.934142
