let,num
相,1
川,5
新,11
屋,3
石,6
津,9
中,9
港,2
向,1
脇,2
上,5
下,5
一,1
色,1
鰯,1
ケ,3
島,8
駅,1
北,3
越,1
後,1
大,7
田,11
住,1
村,2
岡,1
当,2
目,2
小,12
浜,3
柳,2
方,2
ノ,1
泉,1
杉,2
通,1
五,1
堀,1
之,2
内,1
土,1
敷,1
栄,2
坂,1
本,3
三,3
右,3
衛,3
門,3
名,1
塩,1
治,1
長,1
請,1
所,1
江,1
留,1
城,1
腰,1
す,1
み,1
れ,1
台,1
関,1
惣,2
覚,1
寺,1
高,3
崎,1
尻,1
道,1
原,1
里,1
根,3
西,3
焼,2
祢,1
宜,1
野,1
秋,1
花,1
沢,1
飯,1
淵,1
東,1
藤,1
守,1
保,1
福,1
和,1
策,1
牛,1
宗,1
八,1
楠,1
吉,2
永,1
与,1
次,1
利,1
