name,latitude,longitude
栃木県,河内郡上三川町
石田,36.468907,139.899607
磯岡,36.479353,139.910353
大山,36.446239,139.877167
上蒲生,36.447311,139.902559
上郷,36.447378,139.931566
上神主,36.460323,139.883196
上三川,36.427464,139.918054
上文挾,36.476912,139.946691
川中子,36.440524,139.890956
五分一,36.410758,139.897903
坂上,36.405558,139.911284
鞘堂,36.459107,139.869124
三本木,36.409610,139.926100
下蒲生,36.424767,139.898193
下神主,36.452050,139.885044
多功,36.428122,139.874987
西木代,36.481003,139.941717
西蓼沼,36.462806,139.926995
西汗,36.475408,139.926126
東蓼沼,36.460731,139.947998
東汗,36.470466,139.949111
三村,36.415046,139.908598
梁,36.428274,139.886244
ゆうきが丘,36.455261,139.878127
しらさぎ,36.440695,139.911256
天神,36.436224,139.869997
