name,latitude,longitude
栃木県,鹿沼市
麻苧,36.563155,139.744289
旭が丘,36.539905,139.699173
朝日,36.564572,139.754549
東,36.568639,139.769063
油田,36.514631,139.721449
池ノ森,36.497920,139.787864
石橋,36.562909,139.745841
泉,36.573683,139.747671
磯,36.494578,139.749692
板荷,36.635911,139.679728
今宮,36.566563,139.744140
入粟野,36.587489,139.572705
上野,36.568569,139.763295
大和田,36.513051,139.758759
御成橋,36.575434,139.751048
貝島,36.559692,139.760716
柏木,36.504366,139.656377
加園,36.565886,139.680486
上石川,36.523671,139.799191
上大久保,36.629173,139.631614
上粕尾,36.595391,139.509653
上久我,36.603761,139.612182
上材木,36.569212,139.746652
上田,36.567301,139.750804
上殿,36.547629,139.755986
上永野,36.528298,139.549647
上奈良部,36.532983,139.766707
上南摩,36.553351,139.663739
上日向,36.568645,139.709399
亀和田,36.476526,139.753609
北赤塚,36.479417,139.763419
北半田,36.499868,139.728648
銀座,36.565662,139.748771
草久,36.663917,139.543417
口粟野,36.522077,139.658141
久野,36.508042,139.688683
久保,36.565758,139.746636
晃望台,36.560337,139.767544
高谷,36.590104,139.766039
古賀志,36.598244,139.758498
幸,36.562225,139.771528
栄,36.554154,139.773144
坂田山,36.571831,139.740759
酒野谷,36.541264,139.716730
笹原田,36.586495,139.711088
さつき,36.536453,139.807916
佐目,36.505816,139.715640
三幸,36.560546,139.742489
塩山,36.522804,139.737863
下石川,36.508730,139.803317
下大久保,36.621031,139.642002
下粕尾,36.505457,139.630116
下久我,36.588572,139.665572
下材木,36.561996,139.745831
下沢,36.586448,139.694204
下武子,36.574355,139.760109
下田,36.560664,139.752356
下遠部,36.600837,139.704126
下永野,36.479699,139.612411
下奈良部,36.523270,139.762022
下南摩,36.526053,139.716800
下日向,36.556336,139.719734
下横,36.563470,139.747505
白桑田,36.554418,139.819986
末広,36.565469,139.751058
千手,36.573678,139.744279
千渡,36.569623,139.784521
武子,36.599362,139.749588
玉田,36.584086,139.735146
寺,36.560832,139.746708
天神,36.567393,139.747510
栃窪,36.586899,139.788800
戸張,36.571005,139.748344
富岡,36.602908,139.736586
鳥居跡,36.556711,139.746414
中粟野,36.541975,139.625388
中粕尾,36.539506,139.584684
中田,36.564489,139.749695
仲,36.564174,139.746582
奈佐原,36.520597,139.751663
仁神堂,36.579178,139.766953
西鹿沼,36.570835,139.734401
西沢,36.525011,139.697229
西茂呂,36.554528,139.765235
日光奈良部,36.533956,139.755604
楡木,36.506556,139.743748
野沢,36.489794,139.739815
野尻,36.545887,139.707631
花岡,36.556618,139.735605
東末広,36.565422,139.753037
引田,36.606505,139.667583
日吉,36.567243,139.727931
深岩,36.577698,139.717565
深津,36.537021,139.818823
深程,36.494679,139.697178
藤江,36.496339,139.771353
府中,36.565203,139.756780
府所,36.565757,139.759622
府所本,36.569985,139.755859
文化橋,36.569642,139.751501
蓬莱,36.559283,139.746285
松原,36.550592,139.818450
緑,36.558844,139.770063
南上野,36.513666,139.774474
みなみ,36.522955,139.771465
見野,36.599339,139.724238
睦,36.572102,139.752810
村井,36.547243,139.738488
樅山,36.536480,139.743676
茂呂,36.543233,139.783759
万,36.558102,139.750637
流通センター,36.514551,139.800578
