name,latitude,longitude
栃木県,那須烏山市
旭,36.652605,140.163267
愛宕台,36.654090,140.145864
岩子,36.663174,140.102539
宇井,36.662733,140.074168
大金,36.654068,140.096465
大木須,36.638513,140.226372
大桶,36.709340,140.149266
大里,36.642131,140.101021
大沢,36.669209,140.202414
小倉,36.669561,140.073025
落合,36.627083,140.125555
表,36.658440,140.160630
金井,36.653700,140.151256
神長,36.658152,140.130061
上川井,36.716933,140.072881
上境,36.644776,140.180609
興野,36.672823,140.164721
熊田,36.684965,140.115028
鴻野山,36.673112,140.046639
小河原,36.659242,140.108401
小木須,36.617822,140.199930
小白井,36.689480,140.050360
小塙,36.645285,140.121867
小原沢,36.598985,140.180404
三箇,36.689245,140.071223
志鳥,36.719522,140.097481
下川井,36.699334,140.089817
下境,36.621971,140.176288
城東,36.661853,140.158550
白久,36.720754,140.138915
城山,36.665207,140.145468
曲畑,36.619691,140.090469
高瀬,36.653812,140.113604
滝,36.644401,140.138342
滝田,36.679691,140.141651
田野倉,36.656069,140.084847
中央,36.658408,140.152460
月次,36.669274,140.124504
東原,36.656983,140.102603
中山,36.702220,140.133247
野上,36.634995,140.153053
初音,36.649582,140.158640
福岡,36.648062,140.070831
藤田,36.683001,140.089832
曲田,36.630784,140.098597
南,36.648150,140.149578
南大和久,36.670113,140.104399
宮原,36.658115,140.173020
向田,36.623373,140.149887
森田,36.640159,140.128094
谷浅見,36.692889,140.158384
八ケ代,36.630944,140.069362
横枕,36.646541,140.208113
