name,latitude,longitude
栃木県,那須塩原市
青木,36.996675,139.992012
東,36.888601,139.988137
あたご,36.879934,139.982850
阿波,36.972501,140.037867
安藤,36.967634,140.062578
井口,36.915545,139.980280
石林,36.886226,140.007018
板室,37.101194,139.926405
一区,36.847531,139.980756
宇都野,36.902910,139.886517
扇,36.883733,139.984193
大原間,36.927585,140.020352
遅野沢,36.972112,139.905257
折戸,36.968766,139.929385
春日,36.968283,140.030512
金沢,36.937458,139.867408
鹿野崎,36.969574,139.984430
上赤田,36.910368,139.947185
上厚崎,36.955976,140.031778
上大塚新田,36.941464,140.033391
上大貫,36.897802,139.923419
上郷屋,36.966696,139.977437
上塩原,37.003578,139.768224
上中野,36.928918,140.000952
上横林,36.960666,139.945604
亀山,37.029263,140.000432
唐杉,36.950009,140.005232
木曽畑中,36.911898,140.033159
北赤田,36.914679,139.955005
北栄,36.979913,140.043006
北二つ室,36.875050,139.971596
北弥六,36.946903,140.013658
北和田,36.945171,139.992748
共墾社,36.957414,140.051718
清住,36.969448,140.042817
木綿畑,36.994710,139.934134
沓掛,36.942435,140.022667
黒磯,36.982181,140.048154
黒磯幸,36.968429,140.056108
越堀,36.955307,140.098674
五軒,36.889968,139.980409
小結,37.016633,140.012460
材木,36.974663,140.048933
埼玉,36.974440,140.017432
桜,36.976677,140.052149
笹沼,36.937312,139.983401
佐野,36.938168,140.044696
三区,36.881382,139.952605
三本木,36.929434,140.034321
塩野崎,36.963988,139.995320
塩野崎新田,36.959958,140.003750
塩原,36.958063,139.825145
鴫内,36.999194,139.915287
島方,36.931373,140.008211
下厚崎,36.949242,140.043664
下大貫,36.879678,139.928324
下田野,36.938369,139.905489
下永田,36.883215,139.995022
下中野,36.911651,140.013835
新朝日,36.974321,140.061361
新南,36.888536,139.994228
新,36.976553,140.035872
新緑,36.969002,140.039003
末広,36.970140,140.045231
住吉,36.965925,140.049984
関根,36.910865,140.002535
関谷,36.962606,139.900922
千本松,36.937732,139.933390
大黒,36.970740,140.047747
高阿津,36.918471,139.916339
高砂,36.973197,140.052302
高林,36.986475,139.951471
高柳,36.899873,139.990690
太夫塚,36.883019,139.977433
中央,36.971925,140.054895
槻沢,36.902206,139.998889
寺子,36.973074,140.112814
東栄,36.970624,140.061803
洞島,36.963685,139.963549
戸田,37.016506,139.965338
豊浦,36.950076,140.056158
豊浦北,36.978633,140.038274
豊浦,36.964744,140.039764
豊浦中,36.965434,140.043836
豊浦南,36.962079,140.041091
豊住,36.975563,140.040857
鳥野目,37.001781,140.027542
中内,36.958772,139.980351
中塩原,36.997820,139.805835
永田,36.885989,139.984692
鍋掛,36.947691,140.080161
並木,36.978674,140.032847
二区,36.866489,139.962040
西赤田,36.901096,139.956145
西朝日,36.885773,139.989405
西岩崎,37.029131,139.988315
西遅沢,36.920430,139.990653
錦,36.965109,140.053419
西幸,36.875858,139.982452
西栄,36.888713,139.984678
西新,36.972228,140.032950
西富山,36.905224,139.986738
西原,36.888839,139.975712
西三島,36.891629,139.972706
西大和,36.887658,139.978687
接骨木,36.927235,139.961886
沼野田和,36.916703,140.025194
野間,36.931781,140.081472
橋本,36.976996,140.057966
波立,36.950867,139.994281
原,36.967082,140.066192
東赤田,36.908946,139.961393
東遅沢,36.919886,139.997402
東小屋,36.931131,140.027849
東関根,36.904235,140.005772
東豊浦,36.965310,140.061119
東原,37.000375,140.016962
東三島,36.899398,139.983660
東大和,36.976998,140.046468
蟇沼,36.981616,139.891447
二つ室,36.863214,139.984850
方京,36.931918,140.016110
細竹,37.038313,139.975512
本郷,36.976760,140.062549
本,36.970612,140.058492
前弥六,36.942354,140.008178
前弥六南,36.936244,140.017505
松浦,36.968976,140.034479
三島,36.894570,139.976388
緑,36.867755,140.000831
南赤田,36.904687,139.957930
南郷屋,36.891937,139.981360
南,36.881005,139.986446
箕輪,36.976038,139.965924
美原,36.982089,140.035348
宮,36.973245,140.059247
無栗屋,36.951817,139.975740
睦,36.896747,139.985547
百村,37.080147,139.865112
箭坪,37.010054,139.950891
山中新田,36.936719,140.035659
弥生,36.974303,140.055754
油井,37.043270,139.953866
湯宮,36.994907,139.905896
豊,36.969846,140.051920
湯本塩原,36.939413,139.780559
横林,36.944627,139.960875
四区,36.903588,139.940002
若草,36.974179,140.030562
若葉,36.972996,140.046701
渡辺,36.934840,140.055434
