name,latitude,longitude
徳島県,三好市
井川町井内東,33.989875,133.898329
井川町井関,34.023918,133.877194
井川町岩風呂,34.031322,133.893616
井川町大佐古,34.023273,133.892577
井川町岡野前,34.026678,133.875304
井川町片山,34.027248,133.884263
井川町御領田,34.031101,133.874723
井川町才長谷,34.033201,133.890161
井川町里川,34.006510,133.845019
井川町島,34.033224,133.864484
井川町タクミ田,34.031250,133.867309
井川町田中,34.025724,133.861796
井川町辻,34.029334,133.879820
井川町中岡,34.027015,133.860312
井川町西井川,34.024945,133.843008
井川町野津後,34.027239,133.871001
井川町野津後流,34.032064,133.869498
井川町八幡,34.030858,133.861308
井川町向坂,34.024108,133.882493
井川町吉岡,34.026034,133.863935
池田町イケミナミ,34.024693,133.801436
池田町イタノ,34.024638,133.787792
池田町ウヱノ,34.030648,133.799974
池田町ウヱマツ,34.021771,133.809393
池田町馬路,34.014660,133.742541
池田町ヲウトウ,34.021278,133.804592
池田町大利,33.974832,133.812185
池田町川崎,33.943056,133.783290
池田町クヤウジ,34.022573,133.823510
池田町佐野,34.003744,133.703568
池田町サラダ,34.027272,133.808756
池田町漆川,33.980297,133.846825
池田町シマ,34.028746,133.817567
池田町州津,34.042694,133.844470
池田町シンマチ,34.025087,133.807643
池田町シンヤマ,34.022996,133.795965
池田町トウゲ,34.026550,133.827562
池田町トウリン,34.022032,133.818698
池田町中津川,33.982805,133.823700
池田町中西,34.005908,133.796500
池田町西山,34.055692,133.810934
池田町白地,34.030268,133.773755
池田町ハヤシ,34.023338,133.813238
池田町マチ,34.028840,133.806090
池田町松尾,33.944490,133.837090
池田町ヤサン,34.014991,133.813278
池田町ヤマダ,34.026235,133.822592
西祖谷山村有瀬,33.849663,133.806445
西祖谷山村一宇,33.896674,133.823041
西祖谷山村今久保,33.867478,133.822898
西祖谷山村後山,33.889522,133.789596
西祖谷山村後山向,33.882193,133.787910
西祖谷山村榎,33.869538,133.777094
西祖谷山村尾井ノ内,33.888438,133.798824
西祖谷山村小祖谷,33.953701,133.895381
西祖谷山村上吾橋,33.871634,133.788334
西祖谷山村閑定,33.877840,133.844584
西祖谷山村北浦山,33.879608,133.800053
西祖谷山村坂瀬,33.936387,133.911608
西祖谷山村重末,33.871421,133.809419
西祖谷山村下吾橋,33.868103,133.788777
西祖谷山村下名,33.928550,133.875365
西祖谷山村新道,33.911886,133.771663
西祖谷山村善徳,33.895093,133.845045
西祖谷山村田ノ内,33.921406,133.806672
西祖谷山村土日浦,33.861315,133.786907
西祖谷山村徳善,33.882199,133.771646
西祖谷山村徳善西,33.884875,133.763674
西祖谷山村戸ノ谷,33.896506,133.805795
西祖谷山村中尾,33.866270,133.840704
西祖谷山村西岡,33.891863,133.776171
西祖谷山村西岡向,33.879054,133.781903
西祖谷山村東西岡,33.888314,133.779217
西祖谷山村東山,33.871398,133.799879
西祖谷山村ふしろ山,33.899748,133.767189
西祖谷山村南山,33.864871,133.798351
西祖谷山村冥地,33.883113,133.816871
東祖谷阿佐,33.848433,133.905951
東祖谷今井,33.878501,133.857302
東祖谷大枝,33.869076,133.895088
東祖谷大西,33.865887,133.887096
東祖谷小川,33.842560,133.890637
東祖谷奥ノ井,33.880350,133.917692
東祖谷小島,33.889961,133.881485
東祖谷落合,33.926082,133.951089
東祖谷樫尾,33.831054,133.880259
東祖谷釜ケ谷,33.863599,133.923857
東祖谷京上,33.870877,133.905274
東祖谷九鬼,33.873303,133.936273
東祖谷久保,33.856479,133.960327
東祖谷栗枝渡,33.882546,133.924391
東祖谷古味,33.838566,133.898774
東祖谷下瀬,33.877316,133.920643
東祖谷菅生,33.872180,134.005909
東祖谷高野,33.889755,133.859015
東祖谷釣井,33.865175,133.863440
東祖谷中上,33.878092,133.928883
東祖谷新居屋,33.853005,133.890059
東祖谷西山,33.847970,133.937182
東祖谷林,33.861729,133.911345
東祖谷麦生土,33.855966,133.902433
東祖谷元井,33.852356,133.856139
東祖谷若林,33.860449,133.895248
東祖谷和田,33.869636,133.875994
三野町加茂野宮,34.051388,133.989092
三野町芝生,34.045970,133.969154
三野町清水,34.049684,133.997224
三野町勢力,34.048238,133.978914
三野町太刀野,34.046006,133.953120
三野町太刀野山,34.081780,133.934924
山城町相川,33.983760,133.747351
山城町赤谷,33.941258,133.706756
山城町粟山,33.888036,133.689834
山城町岩戸,33.956829,133.740775
山城町大川持,33.964185,133.752200
山城町大谷,33.980082,133.708356
山城町大月,33.970685,133.709383
山城町大野,33.961857,133.708134
山城町小川谷,33.959371,133.697005
山城町尾又,33.927254,133.695348
山城町上名,33.871502,133.751400
山城町国政,33.951511,133.761071
山城町黒川,33.963104,133.733083
山城町佐連,33.975626,133.691597
山城町重実,33.941519,133.751055
山城町柴川,33.983820,133.724846
山城町下川,33.982832,133.780323
山城町下名,33.856376,133.763732
山城町白川,33.935559,133.732062
山城町末貞,33.955266,133.753372
山城町瀬貝,33.976828,133.719387
山城町平野,33.938216,133.687567
山城町寺野,33.973607,133.749796
山城町中野,33.941210,133.739786
山城町西宇,33.916798,133.748266
山城町信正,33.959752,133.720007
山城町八千坊,33.966802,133.728483
山城町引地,33.958218,133.750592
山城町仏子,33.923173,133.713292
山城町政友,33.973556,133.735876
山城町光兼,33.927960,133.721665
山城町茂地,33.964876,133.692993
山城町大和川,33.990167,133.768590
山城町頼広,33.948779,133.720867
山城町若山,33.990472,133.779262
山城町脇,33.968362,133.719978
