let,num
藍,1
場,3
秋,1
田,22
鮎,1
喰,1
安,1
宅,1
飯,1
谷,2
伊,2
賀,3
一,5
宮,4
番,19
月,1
応,7
神,8
町,34
産,1
業,1
団,1
地,2
中,12
原,4
西,15
貞,2
方,3
東,14
古,20
川,6
吉,6
成,1
大,7
松,1
道,1
沖,5
浜,7
籠,1
屋,8
春,2
日,3
上,4
か,1
ち,1
ど,1
き,1
橋,5
勝,1
占,1
金,1
沢,1
八,6
万,3
野,8
加,1
茂,1
名,2
内,4
北,12
洲,4
佐,20
二,6
島,17
常,3
三,8
出,4
来,4
前,3
矢,4
山,7
銀,1
座,1
蔵,4
本,12
元,2
国,26
府,25
池,1
尻,1
井,1
戸,1
延,3
命,1
観,1
音,1
寺,3
岩,2
桜,1
間,1
塚,1
敷,1
芝,1
黒,2
高,2
輪,2
花,1
園,1
早,1
淵,1
開,1
南,26
竜,1
王,1
和,5
紺,1
雑,1
幸,1
栄,1
四,2
五,2
六,3
七,2
軒,4
渋,1
下,2
助,4
任,4
城,5
庄,2
丈,1
昭,3
新,10
福,2
末,2
広,2
住,1
勢,1
見,1
鷹,1
匠,1
多,2
家,1
良,1
央,1
通,3
津,5
海,1
岸,1
之,3
問,1
徳,4
富,4
仲,2
須,1
船,2
工,2
手,2
入,1
幟,1
代,1
眉,1
不,4
動,4
明,1
百,1
弓,1
両,2
論,1
灘,1
