name,latitude,longitude
東京都,小平市
天神,35.728845,139.498560
花小金井,35.733213,139.503854
大沼,35.735257,139.497602
回田,35.717369,139.495336
鈴木,35.722492,139.496996
御幸,35.716175,139.503869
花小金井南,35.721784,139.511784
小川西,35.734433,139.458372
上水本,35.716175,139.476371
上水新,35.725055,139.438685
津田,35.722897,139.466687
小川東,35.734862,139.477858
美園,35.736869,139.490761
喜平,35.719768,139.490209
上水南,35.712785,139.491679
学園西,35.718933,139.475683
学園東,35.724125,139.485211
たかの台,35.723654,139.455325
小川,35.729178,139.472827
中島,35.730098,139.431705
仲,35.730880,139.485412
栄,35.734813,139.441965
