name,latitude,longitude
東京都,町田市
成瀬,35.542217,139.467602
西成瀬,35.550798,139.468935
高ヶ坂,35.538413,139.461101
原町田,35.539387,139.453094
南大谷,35.552943,139.459474
森野,35.552002,139.43072
矢部,35.57939,139.403899
図師,35.587612,139.422778
忠生,35.576861,139.424458
金森,35.530877,139.455985
小川,35.530206,139.472463
成瀬が丘,35.535083,139.467947
根岸,35.574945,139.413538
常盤,35.58658,139.397736
木曽,35.561334,139.429777
根岸,35.577481,139.407883
三輪,35.573175,139.500198
大蔵,35.589,139.464543
下小山田,35.597074,139.414532
小山田桜台,35.589562,139.404497
野津田,35.586983,139.446139
鶴川,35.588185,139.473485
小山ヶ丘,35.601541,139.373482
山崎,35.569417,139.428595
木曽東,35.564817,139.429661
金井,35.573551,139.463901
三輪緑山,35.576817,139.490569
薬師台,35.5818,139.45476
鶴間,35.508493,139.467527
つくし野,35.521085,139.481124
南成瀬,35.533285,139.477977
成瀬台,35.551982,139.478973
東玉川学園,35.555097,139.472716
玉川学園,35.557892,139.463837
中,35.550827,139.449682
旭,35.554672,139.440247
金井,35.573308,139.472119
本町田,35.565021,139.44357399999998
山崎,35.576189,139.435444
広袴,35.597403,139.476642
真光寺,35.603851,139.465373
広袴,35.594521,139.476757
真光寺,35.602663,139.458156
小野路,35.602138,139.43965
上小山田,35.600225,139.396855
相原,35.610958,139.312863
能ヶ谷,35.592385,139.48067
南町田,35.505548,139.478735
小山,35.596539,139.372357
南つくし野,35.522281,139.476982
金井ヶ丘,35.570479,139.456625
藤の台,35.569935,139.447884
