name,latitude,longitude
東京都,大田区
羽田空港,35.549786,139.786522
平和島,35.587316,139.745175
羽田,35.546379,139.745061
羽田旭,35.553743,139.749566
東糀谷,35.555464,139.74505
昭和島,35.571533,139.746867
東海,35.589646,139.765891
久が原,35.585549,139.691256
山王,35.589121,139.725116
南馬込,35.585358,139.712388
仲池上,35.582907,139.700656
田園調布本,35.585089,139.674611
大森本,35.584746,139.73736
西馬込,35.586702,139.703858
田園調布,35.589326,139.671359
北嶺,35.586198,139.682196
城南島,35.577702,139.770275
京浜島,35.569659,139.758735
南六郷,35.544964,139.7206
仲六郷,35.540839,139.707751
西六郷,35.54137,139.702374
本羽田,35.545155,139.737353
西糀谷,35.554648,139.736543
萩中,35.551008,139.737127
東六郷,35.548885,139.717237
南蒲田,35.558726,139.725287
北糀谷,35.562323,139.73306
東蒲田,35.561848,139.728015
大森中,35.564592,139.732378
蒲田,35.560144,139.721394
蒲田本,35.557062,139.719476
新蒲田,35.55758,139.711433
西蒲田,35.563007,139.712494
東矢口,35.562196,139.706307
多摩川,35.563115,139.699423
矢口,35.567344,139.692486
ふるさとの浜辺公園,35.573351,139.741849
平和の森公園,35.579671,139.740183
大森西,35.570808,139.727932
中央,35.578647,139.720973
池上,35.569934,139.704095
千鳥,35.568999,139.693787
下丸子,35.567905,139.688589
南久が原,35.576376,139.688259
鵜の木,35.574012,139.677849
東嶺,35.582653,139.684287
西嶺,35.581374,139.679623
南雪谷,35.589094,139.688511
東雪谷,35.596687,139.685928
中馬込,35.592227,139.704863
東馬込,35.597329,139.713425
北馬込,35.598405,139.709912
上池台,35.593618,139.701012
南千束,35.602,139.686589
北千束,35.606389,139.687434
石川,35.602746,139.68253
雪谷大塚,35.592141,139.678534
令和島,35.590201,139.802437
