name,latitude,longitude
鳥取県,八頭郡智頭町
芦津,35.278365,134.347762
市瀬,35.290363,134.237148
岩神,35.269538,134.221408
宇波,35.246227,134.162269
大背,35.218185,134.199010
大内,35.251783,134.283124
大屋,35.212496,134.241567
大呂,35.272433,134.298183
奥本,35.194081,134.193441
尾見,35.245623,134.294561
木原,35.242103,134.222799
口宇波,35.242651,134.186459
口波多,35.261767,134.184413
慶所,35.221045,134.229523
毛谷,35.261480,134.264030
河津原,35.194315,134.166167
郷原,35.264818,134.273785
駒帰,35.224525,134.330382
坂原,35.269853,134.213275
篠坂,35.260984,134.255599
惣地,35.265545,134.195915
智頭,35.267531,134.239403
中田,35.266108,134.209468
中原,35.239440,134.314063
新見,35.253184,134.203391
西宇塚,35.221115,134.175192
西谷,35.216812,134.271922
西野,35.281168,134.274108
野原,35.206690,134.211047
波多,35.268184,134.158358
埴師,35.233235,134.245938
早瀬,35.218192,134.216956
東宇塚,35.205710,134.182683
福原,35.223865,134.301012
穂見,35.241338,134.250097
真鹿野,35.202526,134.220545
三田,35.247116,134.215888
南方,35.254034,134.244276
三吉,35.228549,134.216484
八河谷,35.301550,134.330432
山根,35.251919,134.233153
横田,35.236391,134.219158
