name,latitude,longitude
鳥取県,西伯郡伯耆町
岩立,35.363940,133.485436
岩屋谷,35.377451,133.378693
上野,35.361526,133.441576
宇代,35.339641,133.427431
遠藤,35.398939,133.399558
大内,35.359761,133.509570
大江,35.354594,133.432932
大倉,35.335878,133.463036
大坂,35.326373,133.478372
大瀧,35.336538,133.500512
大殿,35.388316,133.395696
大原,35.382762,133.455397
押口,35.390016,133.410917
小野,35.358370,133.421116
金廻,35.374142,133.411734
金屋谷,35.367419,133.463469
上細見,35.362501,133.428212
岸本,35.383874,133.415207
貴住,35.345942,133.442798
清原,35.371106,133.434762
久古,35.382771,133.426602
口別所,35.378483,133.418479
小林,35.381375,133.494442
小,35.364755,133.409893
坂長,35.377075,133.395989
三部,35.307713,133.432766
荘,35.314197,133.454894
白水,35.323340,133.453342
須村,35.390409,133.444256
添谷,35.350458,133.466859
立岩,35.364243,133.423535
谷川,35.340908,133.445552
父原,35.310583,133.446301
栃原,35.330137,133.500220
富江,35.333894,133.479590
中祖,35.328667,133.422692
長山,35.353263,133.442583
二部,35.288084,133.433195
根雨原,35.318312,133.467179
畑池,35.275662,133.420066
番原,35.379150,133.436045
福居,35.302174,133.394109
福岡,35.256069,133.385992
福岡原,35.390051,133.428059
福兼,35.348530,133.500183
福島,35.304605,133.411678
福吉,35.315425,133.411424
船越,35.315972,133.396892
古市,35.324136,133.434172
真野,35.375034,133.456319
丸山,35.391952,133.482616
溝口,35.346242,133.432426
宮原,35.329353,133.447037
焼杉,35.284926,133.391865
吉定,35.372439,133.418100
吉長,35.390590,133.404443
