let,num
明,1
辺,1
麻,1
生,1
池,1
田,7
井,5
古,1
石,1
百,2
市,2
谷,8
場,1
稲,1
荷,1
岩,3
渕,1
延,1
命,1
寺,7
大,3
江,1
坪,1
奥,2
野,5
落,1
下,7
坂,2
皆,1
原,3
柿,1
覚,1
王,1
鍛,1
冶,1
屋,1
門,4
尾,2
上,5
津,2
黒,2
峰,2
北,1
山,6
日,2
部,2
国,1
中,3
久,1
能,1
郡,3
家,3
殿,2
小,1
別,2
府,2
才,1
代,2
桜,1
ヶ,1
丘,1
佐,1
崎,1
篠,1
波,1
塩,1
重,1
枝,2
志,3
子,1
島,1
濃,1
新,1
興,1
清,1
徳,2
丸,1
富,1
西,2
御,1
橋,1
本,2
土,1
師,1
花,2
隼,2
福,4
稗,1
姫,1
路,2
地,2
船,2
岡,3
堀,1
越,1
万,1
三,2
浦,1
見,2
槻,2
水,1
口,2
南,1
宮,1
妻,1
鹿,1
茂,2
安,1
宿,1
用,1
呂,1
横,2
米,1
破,1
