let,num
阿,3
古,2
屋,6
野,20
吾,1
妻,1
天,4
池,2
弥,1
陀,1
堂,5
荒,2
俣,1
生,14
地,11
芦,2
区,3
崎,1
飯,2
沢,8
経,2
新,19
神,3
中,9
山,13
吉,4
田,15
四,2
ツ,1
尻,1
石,4
板,1
犬,1
植,1
木,1
内,3
谷,6
宇,20
奈,20
月,20
町,19
愛,1
本,2
栗,3
虫,1
土,1
大,3
開,2
岡,1
荻,2
尾,2
鏡,1
笠,1
破,1
金,1
嘉,1
例,1
北,2
城,1
寺,4
立,4
沓,1
掛,1
窪,2
黒,3
部,3
峡,1
口,2
五,1
郎,1
八,1
ケ,2
舌,1
釈,1
迦,1
正,1
光,1
牧,2
家,3
角,1
高,2
橋,1
籾,1
出,1
島,1
栃,2
轟,1
下,2
陣,1
長,2
浜,1
飛,1
騨,1
福,1
平,1
別,1
所,1
朴,2
堀,3
切,2
前,1
枕,1
三,2
日,3
市,1
宮,2
柳,1
六,1
若,1
御,1
明,2
ノ,1
舟,2
見,2
温,1
泉,1
音,2
澤,2
道,1
越,1
坂,1
熊,1
け,1
い,1
小,1
浦,1
