name,latitude,longitude
富山県,魚津市
相木,36.821946,137.419049
相木新,36.822855,137.420957
青島,36.836517,137.407877
青柳,36.822509,137.445625
山女,36.778701,137.499829
浅生,36.774745,137.404932
有山,36.770328,137.408250
池谷,36.769320,137.443603
石垣,36.793373,137.463766
石垣新,36.810911,137.436236
出,36.795707,137.410072
印田,36.816197,137.428271
上野,36.781241,137.412215
駅前新,36.823316,137.405312
江口,36.835908,137.420739
石垣新村,36.795499,137.460630
大谷村,36.795104,137.451465
下村木,36.819536,137.408365
田地方,36.810422,137.398704
六郎丸村,36.797120,137.448589
大熊,36.742611,137.440702
大沢,36.812839,137.501127
大菅沼,36.777472,137.468316
岡経田,36.843471,137.414709
小川寺,36.821405,137.471811
貝田新,36.803499,137.462871
鹿熊,36.754785,137.441402
金浦,36.819063,137.399672
金山谷,36.772412,137.430885
上口,36.807315,137.393863
上村木,36.822340,137.413841
鴨川,36.817778,137.401081
川原,36.791222,137.404205
川縁,36.794043,137.398853
川原波,36.728920,137.463171
観音堂,36.783857,137.420867
北鬼江,36.832037,137.403650
北中,36.834580,137.404872
北山,36.772921,137.446946
吉島,36.828592,137.418953
木下新,36.847751,137.431985
黒沢,36.821359,137.491279
黒谷,36.782644,137.491354
慶野,36.800807,137.404546
小菅沼,36.766623,137.439771
寿,36.857882,137.412999
佐伯,36.794473,137.405560
三ケ,36.718475,137.555405
三田,36.818475,137.421850
持光寺,36.844894,137.422773
島尻,36.785629,137.474239
下椿,36.771874,137.415976
釈迦堂,36.822330,137.394734
新角川,36.811557,137.394748
新金屋,36.820536,137.404832
新経田,36.848385,137.419035
新宿,36.813971,137.398554
真成寺,36.816285,137.397644
末広,36.820659,137.399321
住吉,36.803537,137.399579
諏訪,36.817976,137.394498
大海寺新,36.795378,137.444008
大海寺野,36.809201,137.423412
大光寺,36.809003,137.407482
高畠,36.833010,137.411503
立石,36.830450,137.429458
中央通り,36.818048,137.397758
坪野,36.771355,137.456387
天神野新,36.832338,137.441817
天王,36.846206,137.416045
道坂,36.807917,137.455274
東城,36.795154,137.488771
東蔵,36.768676,137.495770
友道,36.813106,137.408218
虎谷,36.715206,137.461691
長引野,36.828661,137.475281
並木,36.818477,137.402906
二ケ,36.762760,137.533704
西尾崎,36.839733,137.425820
鉢,36.731611,137.442253
浜経田,36.851040,137.417847
稗畠,36.785219,137.438379
東尾崎,36.836687,137.431778
東山,36.811518,137.460694
火の宮,36.820255,137.396997
平沢,36.755113,137.490891
袋,36.815088,137.438573
布施爪,36.832495,137.475278
双葉,36.816419,137.398232
仏田,36.840863,137.410005
仏又,36.837256,137.411926
古鹿熊,36.747766,137.460702
文化,36.816263,137.399871
平伝寺,36.849340,137.421877
蛇田,36.837084,137.447639
本江,36.816901,137.413990
本江新,36.819090,137.405593
本,36.813628,137.395911
舛方,36.760602,137.416894
舛田,36.785345,137.415103
松倉,36.731043,137.482793
緑,36.823142,137.402628
港,36.820699,137.394253
宮津,36.798893,137.421552
村木,36.822613,137.396590
村木,36.820759,137.401574
室田,36.787594,137.427234
本新,36.826562,137.398321
本新,36.825583,137.402779
弥源寺,36.796428,137.402373
湯上,36.792070,137.420907
横枕,36.813537,137.447209
吉野,36.785407,137.404418
六郎丸,36.821732,137.432588
東,36.853865,137.415201
経田中,36.850060,137.415713
経田西,36.847164,137.413075
