name,latitude,longitude
山形県,南陽市
赤湯,38.057612,140.175366
池黒,38.069324,140.126800
漆山,38.092831,140.115148
大橋,38.024852,140.153529
荻,38.154840,140.181108
沖田,38.029401,140.130936
金沢,38.053244,140.192475
金山,38.102251,140.157878
釜渡戸,38.110907,140.180655
蒲生田,38.058045,140.140902
川樋,38.081438,140.194554
椚塚,38.040773,140.171819
小岩沢,38.087126,140.217147
郡山,38.043720,140.150612
小滝,38.194269,140.176079
坂井,38.041101,140.124878
島貫,38.044359,140.143206
下荻,38.151762,140.146195
新田,38.074492,140.188099
砂塚,38.050443,140.109979
関根,38.038358,140.112014
高梨,38.038597,140.136056
竹原,38.068486,140.090190
太郎,38.121716,140.141629
中央東,38.057583,140.150078
露橋,38.032563,140.114019
長岡,38.037702,140.160838
中落合,38.049895,140.134923
長瀞,38.049726,140.126762
中ノ目,38.033463,140.151620
鍋田,38.031643,140.142430
二色根,38.053360,140.160516
西落合,38.047615,140.130257
萩生田,38.045789,140.137205
羽付,38.080347,140.102759
法師柳,38.047480,140.121810
松沢,38.043167,140.199039
爼柳,38.031818,140.163856
三間通,38.056717,140.154931
宮内,38.077537,140.148525
宮崎,38.028352,140.122207
元中山,38.107151,140.198481
梨郷,38.058272,140.079375
若狭郷屋,38.052856,140.145602
和田,38.063864,140.105257
上野,38.066453,140.163614
