let,num
あ,1
け,1
ぼ,1
の,2
朝,1
篠,1
足,2
野,3
水,3
中,5
里,3
網,1
代,1
瀬,1
荒,1
沢,16
新,3
股,2
伊,1
佐,1
領,1
石,2
滝,5
泉,1
岡,3
市,3
々,1
今,1
入,1
折,2
戸,2
岩,1
井,1
越,1
大,3
宮,2
小,7
国,2
坂,1
渡,2
驚,1
貝,2
少,1
片,1
金,1
目,1
叶,1
河,1
原,4
角,1
黒,1
倉,3
玉,3
川,3
五,1
味,1
幸,1
栄,1
白,1
子,2
尻,1
無,1
屋,1
敷,1
菅,1
沼,2
杉,1
芹,1
出,1
太,1
鼓,1
田,3
頭,1
種,1
樽,1
口,2
綱,1
木,1
箱,1
栃,1
長,1
島,1
山,3
崎,2
西,2
針,1
生,1
東,2
樋,1
ノ,1
百,1
兵,1
庫,1
舘,1
舟,1
古,1
増,1
町,1
松,2
緑,1
台,1
焼,1
湯,1
花,1
若,1
