name,latitude,longitude
山形県,東田川郡庄内町
赤渕新田,38.821738,139.940339
跡,38.858661,139.895223
余目,38.846920,139.905576
余目新田,38.830016,139.922564
新田目,38.789979,139.929636
生三,38.821125,139.891424
榎木,38.869001,139.905744
大野,38.811083,139.905237
大真木,38.796432,139.950774
近江新田,38.822572,139.914913
落合,38.825726,139.872404
家根合,38.833691,139.877513
狩川,38.791196,139.975948
肝煎,38.743171,140.006580
久田,38.846650,139.876322
京島,38.783978,139.934179
清川,38.788121,140.024559
桑田,38.787590,139.943282
小出新田,38.829721,139.940061
境興屋,38.804101,139.914565
沢新田,38.819059,139.951675
科沢,38.691305,140.004450
島田,38.828780,139.906905
常万,38.835886,139.915552
松陽,38.852141,139.895496
杉浦,38.843708,139.875439
千本杉,38.777837,139.941734
添津,38.769010,139.956862
返吉,38.790411,139.936129
高田麦,38.837619,139.883332
立谷沢,38.653819,140.000884
田谷,38.814880,139.912846
千河原,38.869807,139.925979
堤新田,38.820220,139.930372
廿六木,38.857222,139.911952
主殿新田,38.806665,139.940070
中野,38.806239,139.933961
西小野方,38.819873,139.905121
西野,38.852428,139.869417
西袋,38.808503,139.909341
払田,38.834766,139.903158
提興屋,38.861249,139.932220
平岡,38.869471,139.913697
深川,38.846147,139.874352
福島,38.797916,139.942368
福原,38.846231,139.925232
古関,38.811646,139.956245
堀野,38.841136,139.933719
前田野目,38.800713,139.935575
槇島,38.865847,139.932355
廻館,38.818562,139.924782
三ケ沢,38.759365,139.961345
南興屋,38.807999,139.929332
南野,38.814403,139.940462
南野新田,38.806511,139.937008
宮曽根,38.838933,139.872961
茗荷瀬,38.833833,139.891654
本小野方,38.790828,139.921080
吉岡,38.826080,139.903309
吉方,38.801418,139.921227
連枝,38.827779,139.943851
