name,latitude,longitude
山口県,光市
浅江,33.971764,131.929261
岩狩,33.993334,131.953777
浅江,33.989029,131.911032
岩田,33.982563,131.988393
岩田立野,33.993447,131.982729
牛島,33.861597,132.018468
小周防,34.020056,131.981583
塩田,33.998239,132.037231
島田,33.978770,131.963299
立野,33.999272,131.974781
束荷,34.011847,132.009973
三井,33.998071,131.944115
光井,33.964789,131.969663
三輪,33.974776,132.002690
室積村,33.930718,131.992409
上島田,33.982249,131.956525
木園,33.977150,131.930066
協和,33.984749,131.928910
島田,33.969808,131.936020
千坊台,33.946822,131.965995
宝,33.987412,131.928297
中央,33.954651,131.950545
中島田,33.980668,131.949060
中村,33.977414,131.918478
虹ケ丘,33.976558,131.916533
虹ケ浜,33.972465,131.919337
花園,33.976496,131.926058
光ケ丘,33.979740,131.921803
丸山,33.988351,131.925073
三井,33.988079,131.940405
光井,33.949231,131.959149
宮ノ下,33.981841,131.930209
室積,33.931298,131.973616
室積市延,33.934514,131.979073
室積大,33.939206,131.970662
室積沖田,33.933649,131.975636
室積新開,33.942790,131.965215
室積神田,33.931978,131.976964
室積中央,33.934142,131.972337
室積西ノ庄,33.936783,131.976231
室積東ノ庄,33.930261,131.981661
室積正木,33.936857,131.971242
室積松原,33.936261,131.968803
和田,33.983793,131.927408
