let,num
伊,2
佐,6
江,3
石,1
が,1
口,1
岩,1
畠,1
駅,1
南,3
植,1
松,5
泊,1
奥,1
畑,2
切,1
野,2
新,4
田,9
鈴,1
屋,2
台,1
道,1
島,3
富,1
海,1
中,5
山,3
奈,1
美,2
仁,4
井,5
令,6
西,5
浦,2
浜,1
方,1
久,1
兼,1
真,1
尾,1
三,4
尻,4
村,2
向,1
牟,3
礼,3
和,4
字,1
岡,1
沖,1
今,3
宿,2
お,1
茶,1
勝,1
間,1
鐘,1
紡,1
華,3
上,2
天,2
神,2
岸,1
津,1
協,1
桑,2
警,1
固,1
国,2
衙,1
分,1
寺,1
寿,1
波,3
敷,1
清,1
水,1
自,2
由,1
ケ,1
丘,1
力,1
築,1
地,1
酢,1
貝,1
八,1
王,1
子,1
城,1
央,2
園,1
東,4
崎,4
原,2
鞠,1
生,1
本,3
緑,1
宮,1
市,2
柳,1
大,1
開,3
出,3
高,2
倉,1
千,1
日,1
古,1
祖,1
平,1
下,1
右,2
橋,2
泉,2
迫,1
戸,1
惣,1
社,1
多,1
々,1
良,1
鋳,1
物,1
師,1
車,1
塚,1
戎,1
栄,1
