name,latitude,longitude
山口県,周南市
相生,34.05896,131.799768
青山,34.043448,131.817819
秋月,34.053134,131.826354
飯島,34.051382,131.809002
泉原,34.053668,131.819575
今宿,34.056492,131.803504
今住,34.063136,131.802385
入船,34.056659,131.797249
梅園,34.056132,131.804923
江口,34.063017,131.793778
江の宮,34.052266,131.829854
戎,34.05467,131.802483
莇地,34.110844,131.838086
馬神,34.123507,131.710832
大河内,34.023734,131.948157
大潮,34.298281,131.814394
大島,33.991656,131.799316
大津島,34.007275,131.697587
大道理,34.166865,131.798434
大向,34.177865,131.831732
奥関屋,34.066862,131.944865
小畑,34.102062,131.738956
鹿野上,34.253082,131.85329
鹿野下,34.210497,131.825372
鹿野中,34.228467,131.798298
川上,34.121886,131.794881
川曲,34.103642,131.817184
櫛ヶ浜,34.026097,131.829796
久米,34.051854,131.856113
栗屋,34.013334,131.813358
小松原,34.04736,132.010775
四熊,34.113721,131.764039
下上,34.086124,131.77899
上村,34.091043,131.800614
粭島,33.978949,131.763546
須々万奥,34.149957,131.870244
須々万本郷,34.112503,131.864157
須万,34.216508,131.890137
巣山,34.231477,131.767573
清尾,34.055169,131.985298
垰,34.143536,131.734763
高瀬,34.173936,131.767935
富田,34.039097,131.761824
中須南,34.107217,131.916415
中野,34.135744,131.774384
長穂,34.137912,131.840316
中村,34.033109,131.960989
夏切,34.164523,131.739125
原,34.066977,131.960969
樋口,34.071497,131.978305
福川,34.083533,131.729318
戸田,34.073733,131.679127
金峰,34.17155,131.906878
夜市,34.089616,131.715469
八代,34.094254,131.945093
安田,34.039784,131.973002
譲羽,34.068454,131.862849
湯野,34.108092,131.671602
米光,34.124906,131.734828
呼坂,34.051235,131.941423
大内,34.049816,131.825433
扇,34.054916,131.823052
岡田,34.061557,131.80645
小川屋,34.067158,131.754138
沖見,34.058723,131.799022
桶川,34.071681,131.774879
御姫,34.075162,131.727349
温田,34.072918,131.746115
開成,34.057162,131.75586
学園台,34.051805,131.847677
かせ河原,34.070545,131.726031
勝間ヶ丘,34.047048,131.953752
上迫,34.079667,131.733009
上遠石,34.044252,131.822497
花陽,34.053894,131.832768
川崎,34.073517,131.776813
川手,34.070303,131.778215
川端,34.050746,131.810527
河東,34.048309,131.811308
岐山通,34.055208,131.807017
岐南,34.058845,131.813422
銀座,34.050914999999996,131.804394
銀南街,34.05091,131.805483
楠木,34.056564,131.821028
熊毛中央,34.049017,131.968931
慶万,34.048993,131.813775
古泉,34.067123,131.764802
糀,34.048508,131.806151
孝田,34.04828,131.834859
河内,34.078264,131.757005
鼓海,34.021593,131.824751
児玉,34.054893,131.808202
権現,34.058391,131.798193
栄,34.054005,131.80486
坂根,34.081182,131.757428
桜木,34.043013,131.837349
桜馬場通,34.053799,131.807895
五月,34.038542,131.829291
皿山,34.078132,131.736705
三番,34.053818,131.810681
椎木,34.066507,131.781345
清水,34.070844,131.768026
清水,34.054764,131.818374
社地,34.072197,131.738294
周陽,34.04845,131.82852
城ケ丘,34.045562,131.836877
鐘楼,34.060606,131.808714
昭和通,34.051123,131.809855
新宮,34.040622,131.812416
新宿通,34.05773,131.80165
新清光台,34.035065,131.949215
新地,34.067348,131.792892
新地,34.071484,131.732605
新堤,34.078452,131.760968
新田,34.065644,131.734558
新,34.052677,131.806633
住崎,34.048635,131.803802
清光台,34.031427,131.950967
瀬戸見,34.050214,131.83265
大神,34.082161,131.762536
高水原,34.052292,131.969635
