name,latitude,longitude
山梨県,南アルプス市
東南湖,35.575175,138.490859
西南湖,35.587483,138.492128
浅原,35.594709,138.505753
上高砂,35.668168,138.494833
荊沢,35.583689,138.466847
大師,35.586886,138.472589
秋山,35.584745,138.434629
湯沢,35.590983,138.445065
落合,35.586869,138.457634
戸田,35.580798,138.477555
和泉,35.579856,138.482385
藤田,35.597121,138.497731
鏡中條,35.614758,138.500625
下今井,35.625740,138.493062
下今諏訪,35.629964,138.498953
上今諏訪,35.638887,138.498317
徳永,35.654708,138.487326
下高砂,35.653553,138.499152
須澤,35.664603,138.376584
上市之瀬,35.599278,138.392923
芦安安通,35.614066,138.359215
高尾,35.625398,138.409459
芦安芦倉,35.672967,138.263492
野牛島,35.669209,138.479574
大嵐,35.659885,138.405066
塩前,35.665830,138.411832
六科,35.666771,138.460120
高田新田,35.566254,138.477046
宮沢,35.580377,138.473259
清水,35.589111,138.474546
寺部,35.613697,138.488635
榎原,35.659304,138.484734
上八田,35.655916,138.478250
西野,35.640608,138.484224
在家塚,35.639807,138.470156
飯野,35.641344,138.454740
沢登,35.627188,138.470506
曲輪田新田,35.637903,138.444585
十五所,35.619687,138.474095
桃園,35.622815,138.457605
百々,35.655475,138.464041
江原,35.601027,138.474300
鮎沢,35.595542,138.470380
川上,35.594753,138.461240
古市場,35.591320,138.466548
下宮地,35.603144,138.465584
塚原,35.598092,138.450602
小笠原,35.612084,138.464408
あやめが丘,35.608540,138.445796
上野,35.600919,138.443314
下市之瀬,35.600018,138.457614
山寺,35.606250,138.457862
平岡,35.611625,138.418619
上宮地,35.619564,138.438552
上今井,35.628773,138.481801
曲輪田,35.630460,138.441004
飯野新田,35.648916,138.440332
築山,35.649693,138.426297
有野,35.658997,138.440705
十日市場,35.607243,138.476398
吉田,35.620936,138.484136
中野,35.595862,138.426821
加賀美,35.601823,138.485681
田島,35.594011,138.481783
駒場,35.645804,138.410923
